------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Alaska",02900,7.6,56043,"25 of 51"
"United States",00000,13.4,43028127,"N/A"
"Yukon-Koyukuk Census Area",02290,1.2,65,"2490 of 3140"
"Northwest Arctic Borough",02188,1.3,98,"2417 of 3140"
"Wade Hampton Census Area",02270,1.4,114,"2317 of 3140"
"Dillingham Census Area",02070,2.1,102,"1899 of 3140"
"Nome Census Area",02180,2.1,212,"1840 of 3140"
"Bethel Census Area",02050,2.2,393,"1814 of 3140"
"Prince of Wales-Outer Ketchikan Census Area",02201,2.3,148,"1749 of 3140"
"Bristol Bay Borough",02060,2.8,26,"1498 of 3140"
"Kenai Peninsula Borough",02122,2.9,1685,"1473 of 3140"
"Lake and Peninsula Borough",02164,3.2,41,"1372 of 3140"
"Matanuska-Susitna Borough",02170,3.4,3462,"1281 of 3140"
"Valdez-Cordova Census Area",02261,4.9,458,"942 of 3140"
"Fairbanks North Borough",02090,5.1,5091,"904 of 3140"
"North Slope Borough",02185,5.1,497,"902 of 3140"
"Yakutat City and Borough",02282,6.0,41,"744 of 3140"
"Haines Borough",02100,6.6,168,"659 of 3140"
"Skagway-Hoonah-Angoon Census Area",02232,6.7,212,"654 of 3140"
"Wrangell-Petersburg Census Area",02280,7.2,413,"589 of 3140"
"Ketchikan Gateway Borough",02130,7.9,1082,"521 of 3140"
"Sitka City and Borough",02220,8.0,703,"511 of 3140"
"Juneau City and Borough",02110,8.6,2783,"456 of 3140"
"Denali Borough",02068,10.2,236,"338 of 3140"
"Anchorage Municipality",02020,10.5,31367,"321 of 3140"
"Southeast Fairbanks Census Area",02240,10.6,731,"313 of 3140"
"Kodiak Island Borough",02150,18.5,2543,"131 of 3140"
"Aleutians East Borough",02013,36.2,1209,"9 of 3140"
"Aleutians West Census Area",02016,37.4,2163,"6 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
