------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Alaska",02900,6.9,11622,"5 of 52"
"United States",00000,10.5,8253388,"N/A"
"Denali Borough",02068,2.9,11,"50 of 3141"
"Yakutat City and Borough",02282,3.4,5,"75 of 3141"
"Juneau City and Borough",02110,4.0,318,"129 of 3141"
"Aleutians West Census Area",02016,4.1,29,"141 of 3141"
"Fairbanks North Borough",02090,4.5,1059,"185 of 3141"
"Bristol Bay Borough",02060,4.7,11,"206 of 3141"
"Anchorage Municipality",02020,5.2,3685,"276 of 3141"
"Sitka City and Borough",02220,5.4,114,"309 of 3141"
"Valdez-Cordova Census Area",02261,5.5,101,"327 of 3141"
"Haines Borough",02100,6.0,36,"423 of 3141"
"Matanuska-Susitna Borough",02170,6.8,1456,"572 of 3141"
"Kodiak Island Borough",02150,7.0,221,"624 of 3141"
"Kenai Peninsula Borough",02122,7.4,1025,"725 of 3141"
"Wrangell-Petersburg Census Area",02280,7.5,113,"759 of 3141"
"Ketchikan Gateway Borough",02130,8.0,274,"896 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,8.2,61,"939 of 3141"
"Southeast Fairbanks Census Area",02240,9.9,140,"1387 of 3141"
"North Slope Borough",02185,10.2,163,"1479 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,11.5,173,"1794 of 3141"
"Aleutians East Borough",02013,14.3,74,"2345 of 3141"
"Dillingham Census Area",02070,14.6,147,"2390 of 3141"
"Lake and Peninsula Borough",02164,14.7,41,"2402 of 3141"
"Yukon-Koyukuk Census Area",02290,20.8,256,"2940 of 3141"
"Nome Census Area",02180,20.8,458,"2941 of 3141"
"Northwest Arctic Borough",02188,22.0,311,"2982 of 3141"
"Bethel Census Area",02050,23.8,810,"3025 of 3141"
"Wade Hampton Census Area",02270,36.4,530,"3129 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
