------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Alaska",02900,25.2,186246,"4 of 52"
"Aleutians East Borough",02013,13.4,446,"3123 of 3141"
"Denali Borough",02068,14.1,325,"3117 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,15.3,486,"3089 of 3141"
"Aleutians West Census Area",02016,17.0,983,"2989 of 3141"
"Haines Borough",02100,19.7,500,"2565 of 3141"
"Wrangell-Petersburg Census Area",02280,21.2,1219,"2086 of 3141"
"Yakutat City and Borough",02282,21.8,149,"1846 of 3141"
"Juneau City and Borough",02110,21.9,7095,"1835 of 3141"
"Ketchikan Gateway Borough",02130,22.3,3068,"1615 of 3141"
"Sitka City and Borough",02220,22.4,1977,"1564 of 3141"
"Bristol Bay Borough",02060,22.8,209,"1416 of 3141"
"Kenai Peninsula Borough",02122,23.0,13318,"1327 of 3141"
"Valdez-Cordova Census Area",02261,23.6,2228,"1054 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,23.7,1537,"998 of 3141"
"Fairbanks North Borough",02090,24.1,24153,"813 of 3141"
"Anchorage Municipality",02020,24.8,73861,"615 of 3141"
"North Slope Borough",02185,25.6,2495,"428 of 3141"
"Kodiak Island Borough",02150,26.3,3617,"336 of 3141"
"Southeast Fairbanks Census Area",02240,27.0,1862,"252 of 3141"
"Matanuska-Susitna Borough",02170,27.2,27559,"226 of 3141"
"Yukon-Koyukuk Census Area",02290,27.9,1522,"169 of 3141"
"Lake and Peninsula Borough",02164,28.1,365,"161 of 3141"
"Dillingham Census Area",02070,31.0,1544,"70 of 3141"
"Nome Census Area",02180,34.5,3402,"20 of 3141"
"Northwest Arctic Borough",02188,34.9,2694,"16 of 3141"
"Bethel Census Area",02050,35.7,6403,"9 of 3141"
"Wade Hampton Census Area",02270,39.7,3229,"2 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
