------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Alaska",02900,10.2,73380,"4 of 52"
"United States",00000,14.6,45650345,"N/A"
"Yakutat City and Borough",02282,6.2,42,"96 of 3141"
"Bristol Bay Borough",02060,7.1,63,"151 of 3141"
"Juneau City and Borough",02110,7.4,2339,"173 of 3141"
"Valdez-Cordova Census Area",02261,7.4,694,"181 of 3141"
"Aleutians West Census Area",02016,7.5,419,"188 of 3141"
"Fairbanks North Borough",02090,7.7,7340,"199 of 3141"
"Anchorage Municipality",02020,8.1,23510,"248 of 3141"
"Haines Borough",02100,8.4,210,"285 of 3141"
"Sitka City and Borough",02220,9.2,800,"397 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,9.3,296,"409 of 3141"
"Kodiak Island Borough",02150,9.3,1262,"412 of 3141"
"Wrangell-Petersburg Census Area",02280,9.5,543,"447 of 3141"
"Matanuska-Susitna Borough",02170,9.8,9759,"506 of 3141"
"North Slope Borough",02185,10.2,976,"568 of 3141"
"Ketchikan Gateway Borough",02130,10.6,1437,"642 of 3141"
"Kenai Peninsula Borough",02122,11.0,6229,"710 of 3141"
"Southeast Fairbanks Census Area",02240,13.9,942,"1315 of 3141"
"Denali Borough",02068,15.5,351,"1638 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,16.0,1027,"1742 of 3141"
"Lake and Peninsula Borough",02164,16.5,213,"1825 of 3141"
"Dillingham Census Area",02070,16.6,817,"1844 of 3141"
"Aleutians East Borough",02013,16.7,555,"1876 of 3141"
"Nome Census Area",02180,24.9,2381,"2857 of 3141"
"Northwest Arctic Borough",02188,25.3,1934,"2886 of 3141"
"Yukon-Koyukuk Census Area",02290,25.5,1373,"2896 of 3141"
"Bethel Census Area",02050,27.0,4705,"2961 of 3141"
"Wade Hampton Census Area",02270,39.1,3163,"3119 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
