------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Uninsured),Rank within US
"Alaska",02900,22.2,23602,"45 of 51"
"Wade Hampton Census Area",02270,15.3,705,"1286 of 3139"
"Bethel Census Area",02050,17.3,1290,"1541 of 3139"
"Dillingham Census Area",02070,17.7,260,"1606 of 3139"
"Nome Census Area",02180,20.4,693,"2024 of 3139"
"Anchorage Municipality",02020,20.7,7113,"2073 of 3139"
"Fairbanks North Borough",02090,21.5,2476,"2174 of 3139"
"Matanuska-Susitna Borough",02170,22.5,3093,"2296 of 3139"
"Kenai Peninsula Borough",02122,22.6,1861,"2311 of 3139"
"Northwest Arctic Borough",02188,23.4,610,"2406 of 3139"
"Yukon-Koyukuk Census Area",02290,23.8,381,"2449 of 3139"
"Bristol Bay Borough",02060,24.1,28,"2476 of 3139"
"Ketchikan Gateway Borough",02130,25.9,487,"2625 of 3139"
"Juneau City and Borough",02110,26.3,802,"2657 of 3139"
"Yakutat City and Borough",02282,26.5,27,"2675 of 3139"
"Valdez-Cordova Census Area",02261,26.8,316,"2699 of 3139"
"Lake and Peninsula Borough",02164,27.7,118,"2785 of 3139"
"Prince of Wales-Outer Ketchikan Census Area",02201,28.1,377,"2803 of 3139"
"North Slope Borough",02185,29.0,495,"2841 of 3139"
"Wrangell-Petersburg Census Area",02280,29.2,245,"2860 of 3139"
"Kodiak Island Borough",02150,29.7,577,"2878 of 3139"
"Haines Borough",02100,30.0,109,"2897 of 3139"
"Southeast Fairbanks Census Area",02240,30.0,361,"2897 of 3139"
"Skagway-Hoonah-Angoon Census Area",02232,30.1,175,"2909 of 3139"
"Sitka City and Borough",02220,30.8,311,"2943 of 3139"
"Denali Borough",02068,33.8,68,"3026 of 3139"
"Aleutians West Census Area",02016,38.7,315,"3104 of 3139"
"Aleutians East Borough",02013,49.0,309,"3137 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
