------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Alaska",02900,7.6,36177,"5 of 52"
"United States",00000,12.7,27437114,"N/A"
"Denali Borough",02068,1.3,20,"2 of 3141"
"Haines Borough",02100,3.4,63,"17 of 3141"
"Juneau City and Borough",02110,4.0,893,"40 of 3141"
"Valdez-Cordova Census Area",02261,4.1,265,"46 of 3141"
"Fairbanks North Borough",02090,5.4,3349,"138 of 3141"
"Sitka City and Borough",02220,6.5,399,"272 of 3141"
"Anchorage Municipality",02020,6.6,12747,"298 of 3141"
"Bristol Bay Borough",02060,7.4,48,"417 of 3141"
"Kenai Peninsula Borough",02122,7.4,2977,"440 of 3141"
"Matanuska-Susitna Borough",02170,7.9,5112,"547 of 3141"
"Ketchikan Gateway Borough",02130,8.1,769,"602 of 3141"
"Yakutat City and Borough",02282,8.1,39,"610 of 3141"
"Southeast Fairbanks Census Area",02240,8.5,380,"676 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,9.0,223,"788 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,10.0,446,"1028 of 3141"
"Wrangell-Petersburg Census Area",02280,10.7,433,"1215 of 3141"
"Kodiak Island Borough",02150,11.5,1030,"1377 of 3141"
"North Slope Borough",02185,11.6,756,"1414 of 3141"
"Aleutians West Census Area",02016,11.7,485,"1423 of 3141"
"Lake and Peninsula Borough",02164,12.3,97,"1542 of 3141"
"Dillingham Census Area",02070,13.6,391,"1769 of 3141"
"Aleutians East Borough",02013,14.2,364,"1873 of 3141"
"Nome Census Area",02180,15.1,821,"1990 of 3141"
"Yukon-Koyukuk Census Area",02290,15.3,528,"2028 of 3141"
"Northwest Arctic Borough",02188,19.3,789,"2518 of 3141"
"Bethel Census Area",02050,19.8,1896,"2576 of 3141"
"Wade Hampton Census Area",02270,21.8,857,"2779 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
