------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=48&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=48&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Texas by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Texas(6)",48000,Yes,37.7 ,37.2, 38.1,5251,33.5
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Goliad County(6)",48175,No,62.9 ,36.3, 104.6,4,51.4
"Houston County(6)",48225,No,60.5 ,42.3, 84.3,9,47.8
"Limestone County(6)",48293,No,52.8 ,37, 73.5,8,43.5
"Karnes County(6)",48255,No,50.8 ,29.2, 82.4,4,35.3
"Freestone County(6)",48161,No,50.6 ,33.9, 73.2,6,35.6
"Ward County(6)",48475,No,50.2 ,27.8, 83.3,3,44.4
"San Augustine County(6)",48405,No,50.1 ,26.7, 87.6,3,43.2
"Wood County(6)",48499,No,49.8 ,37.7, 64.7,16,39.6
"Hutchinson County(6)",48233,No,49.8 ,33.6, 71.2,6,40.0
"Ector County(6)",48135,No,48.7 ,41.5, 56.7,33,40.9
"Fayette County(6)",48149,No,48.3 ,32.9, 68.6,8,39.8
"Pecos County(6)",48371,No,47.3 ,27.2, 76.6,3,47.2
"Matagorda County(6)",48321,No,46.7 ,34.3, 62.2,10,42.1
"Bastrop County(6)",48021,No,46.7 ,37.7, 57.2,20,36.4
"Wharton County(6)",48481,No,45.9 ,34.4, 60.1,12,38.2
"Lamar County(6)",48277,No,45.2 ,35, 57.6,15,36.8
"Walker County(6)",48471,No,45.1 ,34, 58.6,12,34.3
"Scurry County(6)",48415,No,44.9 ,27.4, 69.6,4,43.1
"Milam County(6)",48331,No,44.6 ,30.9, 62.7,8,38.8
"Tom Green County(6)",48451,No,44.6 ,37.4, 52.8,29,39.5
"Clay County(6)",48077,No,44.5 ,24.6, 75.9,3,32.7
"Hill County(6)",48217,No,44.5 ,31.9, 60.5,9,38.2
"Parker County(6)",48367,No,44.4 ,37.6, 52.2,32,34.4
"Red River County(6)",48387,No,44.4 ,24.7, 74.2,4,36.7
"Navarro County(6)",48349,No,44.1 ,33.6, 56.8,13,35.9
"Grimes County(6)",48185,No,43.5 ,29.2, 62.6,7,37.9
"Ellis County(6)",48139,No,43.4 ,37.3, 50.3,38,37.5
"Bell County(6)",48027,No,43.2 ,38.5, 48.2,65,32.8
"Tarrant County(6)",48439,No,42.6 ,40.8, 44.5,425,35.3
"Victoria County(6)",48469,No,42.6 ,34.7, 51.7,22,37.0
"Calhoun County(6)",48057,No,42.6 ,27.9, 62.6,6,57.1
"Wilbarger County(6)",48487,No,42.3 ,23.1, 70.9,3,32.7
"Uvalde County(6)",48463,No,42.1 ,28, 60.8,6,39.5
"Burleson County(6)",48051,Yes,41.6 ,26.1, 63.6,5,38.5
"Kaufman County(6)",48257,Yes,41.5 ,34.4, 49.7,24,31.8
"Rockwall County(6)",48397,Yes,41.2 ,33.4, 50.4,20,31.2
"Orange County(6)",48361,Yes,41.2 ,33.4, 50.3,20,37.5
"El Paso County(6)",48141,Yes,41 ,38.3, 43.9,173,39.4
"McLennan County(6)",48309,Yes,40.7 ,35.8, 46.1,53,36.9
"Morris County(6)",48343,Yes,40.6 ,23.8, 66.1,4,36.4
"Lampasas County(6)",48281,Yes,40.6 ,25.7, 61.3,5,34.2
"Johnson County(6)",48251,Yes,40.5 ,34.6, 47,36,34.3
"Comal County(6)",48091,Yes,40.4 ,34.1, 47.6,32,30.8
"Leon County(6)",48289,Yes,40.4 ,25.3, 62.1,5,40.0
"Rusk County(6)",48401,Yes,40.3 ,30.6, 52.3,12,34.4
"Dallas County(6)",48113,Yes,40.3 ,38.7, 41.9,503,34.5
"Hardin County(6)",48199,Yes,40.2 ,31, 51.4,14,35.6
"Hale County(6)",48189,Yes,40.2 ,27.6, 56.4,7,40.5
"Fannin County(6)",48147,Yes,40 ,27.8, 55.9,8,36.1
"Harrison County(6)",48203,Yes,40 ,31.3, 50.5,15,34.5
"Jasper County(6)",48241,Yes,40 ,28.4, 54.8,9,35.5
"Colorado County(6)",48089,Yes,40 ,25.1, 60.7,5,34.7
"Lamb County(6)",48279,Yes,39.7 ,22.7, 65.1,3,47.2
"Taylor County(6)",48441,Yes,39.6 ,33.1, 47.1,28,33.2
"Wise County(6)",48497,Yes,39.6 ,30.7, 50.3,14,39.3
"Hood County(6)",48221,Yes,39.4 ,30.5, 50.4,16,31.7
"Hays County(6)",48209,Yes,39.4 ,33.5, 45.9,34,34.0
"Jones County(6)",48253,Yes,39.3 ,22.8, 63.6,4,41.3
