------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=48&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'cancer': '057', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=48&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Texas by County

"Cervix (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Texas(6,10)",48000,No,9.2 ,9, 9.5,1234,stable,0.3 ,-1.6, 2.3
"US (SEER+NPCR)(1,10)",00000,No,7.6 ,7.5, 7.6,12695,stable,0.8 ,-0.6, 2.3
"Hill County(6,10)",48217,No,20.5 ,11.4, 33.6,3,*,*,*,*
"Angelina County(6,10)",48005,No,18.8 ,13.4, 25.8,8,stable,5.4 ,-22.1, 42.8
"Val Verde County(6,10)",48465,No,18.3 ,11.3, 27.9,4,stable,-24.4 ,-48.7, 11.4
"Navarro County(6,10)",48349,No,15.5 ,9.5, 23.9,4,stable,-16.2 ,-42.1, 21.3
"Starr County(6,10)",48427,No,14.5 ,8.9, 22.1,4,stable,12.6 ,-29.8, 80.7
"Henderson County(6,10)",48213,No,14.1 ,9.1, 20.7,6,stable,-4.2 ,-61.7, 140.0
"Maverick County(6,10)",48323,No,12.7 ,7.2, 20.6,3,stable,-8.3 ,-48.5, 63.2
"Potter County(6,10)",48375,No,12.6 ,8.7, 17.5,7,stable,-7.6 ,-57.0, 98.6
"Bowie County(6,10)",48037,No,12.1 ,7.9, 17.7,6,stable,-1.6 ,-16.2, 15.7
"Webb County(6,10)",48479,No,12.1 ,9.4, 15.2,14,stable,9.6 ,-5.5, 27.2
"Cameron County(6,10)",48061,No,12 ,10, 14.4,24,stable,1.6 ,-5.0, 8.6
"Hidalgo County(6,10)",48215,No,11.9 ,10.4, 13.6,43,stable,5.1 ,-7.3, 19.2
"Lubbock County(6,10)",48303,No,11.8 ,9.2, 14.8,15,stable,4.2 ,-16.3, 29.8
"Harris County(6,10)",48201,No,10.9 ,10.3, 11.6,239,stable,-3.3 ,-13.8, 8.6
"Victoria County(6,10)",48469,No,10.9 ,6.9, 16.2,5,stable,-6.4 ,-36.9, 38.8
"Ector County(6,10)",48135,No,10.9 ,7.6, 15.1,7,stable,10.5 ,-11.6, 38.1
"San Patricio County(6,10)",48409,No,10.7 ,6.2, 17.3,3,*,*,*,*
"Bell County(6,10)",48027,No,10.7 ,8.5, 13.4,16,stable,-0.6 ,-10.7, 10.7
"Grayson County(6,10)",48181,No,10.7 ,7.2, 15.3,6,stable,-16.2 ,-55.2, 56.8
"Guadalupe County(6,10)",48187,No,10.7 ,7.6, 14.6,8,stable,-8.8 ,-27.1, 14.1
"Orange County(6,10)",48361,No,10.7 ,6.5, 16.4,4,stable,-12.4 ,-41.4, 31.0
"Bexar County(6,10)",48029,No,10.6 ,9.7, 11.6,97,stable,0.7 ,-10.3, 13.0
"El Paso County(6,10)",48141,No,10.5 ,9.1, 12,43,stable,-3.8 ,-9.2, 2.0
"Kaufman County(6,10)",48257,No,10.2 ,6.8, 14.7,6,stable,0.8 ,-30.1, 45.5
"Liberty County(6,10)",48291,No,10.1 ,6.2, 15.6,4,*,*,*,*
"Wichita County(6,10)",48485,No,9.8 ,6.4, 14.3,6,rising,23.9 ,3.7, 48.0
"Coryell County(6,10)",48099,No,9.8 ,5.8, 15.5,4,falling,-21.2 ,-32.9, -7.5
"Midland County(6,10)",48329,No,9.6 ,6.6, 13.5,7,stable,0.3 ,-19.1, 24.3
"Ellis County(6,10)",48139,No,9.5 ,6.7, 13.1,7,stable,14.0 ,-6.3, 38.8
"Randall County(6,10)",48381,No,9.3 ,6.2, 13.4,6,stable,-9.8 ,-44.9, 47.7
