------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=37&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=37&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for North Carolina by County

"Bladder, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"North Carolina",37000,***,4.3 ,4.1, 4.4,473,rising,0.4 ,0.2, 0.7
"United States",00000,***,4.4 ,4.3, 4.4,15935,stable,0.0 ,-0.1, 0.0
"Cherokee County",37039,***,7.3 ,4, 12.8,3,*,*,*,*
"Surry County",37171,***,6.6 ,4.6, 9.3,7,stable,0.5 ,-2.1, 3.1
"Rutherford County",37161,***,6.2 ,4.1, 9,6,stable,2.1 ,-0.1, 4.3
"Stanly County",37167,***,6 ,3.9, 9.1,5,*,*,*,*
"Gaston County",37071,***,5.8 ,4.5, 7.4,14,rising,2.4 ,0.3, 4.6
"Halifax County",37083,***,5.6 ,3.5, 8.8,4,*,*,*,*
"Lincoln County",37109,***,5.5 ,3.6, 8.2,5,*,*,*,*
"Rowan County",37159,***,5.4 ,4, 7.3,9,stable,0.8 ,-1.2, 2.9
"Rockingham County",37157,***,5.3 ,3.7, 7.6,7,*,*,*,*
"Transylvania County",37175,***,5.3 ,3.3, 9,4,*,*,*,*
"Lee County",37105,***,5.2 ,3.1, 8.4,4,*,*,*,*
"Beaufort County",37013,***,5.1 ,3, 8.3,4,*,*,*,*
"Alamance County",37001,***,5.1 ,3.8, 6.7,10,stable,0.2 ,-1.4, 1.8
"Forsyth County",37067,***,5.1 ,4.1, 6.2,21,stable,0.4 ,-1.1, 1.9
"Edgecombe County",37065,***,5.1 ,2.9, 8.3,3,*,*,*,*
"Franklin County",37069,***,5 ,2.9, 8.2,3,*,*,*,*
"Craven County",37049,***,4.9 ,3.3, 7,6,*,*,*,*
"Pender County",37141,***,4.8 ,2.7, 8,3,*,*,*,*
"Onslow County",37133,***,4.8 ,3.2, 6.9,6,*,*,*,*
"Johnston County",37101,***,4.7 ,3.3, 6.4,8,*,*,*,*
"Nash County",37127,***,4.6 ,3.1, 6.8,6,*,*,*,*
"Mecklenburg County",37119,***,4.5 ,3.8, 5.2,35,stable,0.2 ,-0.8, 1.3
"Cleveland County",37045,***,4.5 ,2.9, 6.6,5,*,*,*,*
"Lenoir County",37107,***,4.4 ,2.6, 7.2,4,stable,0.6 ,-1.6, 2.8
"Harnett County",37085,***,4.4 ,2.8, 6.6,5,*,*,*,*
"Sampson County",37163,***,4.4 ,2.6, 7,4,*,*,*,*
"Randolph County",37151,***,4.4 ,3.1, 6.1,8,stable,0.6 ,-1.3, 2.4
"Brunswick County",37019,***,4.3 ,3.1, 6,9,*,*,*,*
"Iredell County",37097,***,4.3 ,3, 5.9,8,stable,0.7 ,-1.6, 2.9
"Wilson County",37195,***,4.2 ,2.6, 6.6,4,*,*,*,*
"Carteret County",37031,***,4.2 ,2.7, 6.5,5,*,*,*,*
"Wayne County",37191,***,4.2 ,2.8, 6.1,6,stable,0.8 ,-1.6, 3.1
"Davidson County",37057,***,4.2 ,3, 5.7,8,stable,-0.3 ,-2.2, 1.6
"Pitt County",37147,***,4.2 ,2.9, 5.9,7,stable,-0.4 ,-2.4, 1.6
"New Hanover County",37129,***,4.2 ,3.1, 5.5,11,stable,-0.9 ,-2.5, 0.7
"Buncombe County",37021,***,4.1 ,3.2, 5.2,15,stable,0.9 ,-0.8, 2.6
"Catawba County",37035,***,4 ,2.9, 5.6,8,stable,0.0 ,-1.6, 1.6
"Burke County",37023,***,4 ,2.6, 6.1,5,stable,1.1 ,-0.9, 3.1
"Caldwell County",37027,***,4 ,2.4, 6.3,4,stable,-1.7 ,-4.4, 1.0
"Orange County",37135,***,4 ,2.6, 5.9,5,stable,1.2 ,-1.7, 4.3
"Haywood County",37087,***,3.9 ,2.3, 6.4,4,*,*,*,*
"Wake County",37183,***,3.8 ,3.2, 4.5,29,stable,0.2 ,-1.0, 1.5
"Durham County",37063,***,3.7 ,2.7, 5,10,stable,-0.2 ,-2.0, 1.6
"Cabarrus County",37025,***,3.7 ,2.6, 5.2,7,stable,-1.4 ,-3.3, 0.6
"Moore County",37125,***,3.6 ,2.5, 5.3,6,falling,-2.0 ,-3.9, -0.1
"Henderson County",37089,***,3.6 ,2.5, 5.1,7,stable,-1.4 ,-3.2, 0.6
"Chatham County",37037,***,3.6 ,2.2, 5.8,4,*,*,*,*
"Guilford County",37081,***,3.5 ,2.9, 4.3,20,stable,-0.7 ,-2.1, 0.7
"Union County",37179,***,3.3 ,2.2, 4.8,6,stable,-0.1 ,-2.7, 2.5
"Cumberland County",37051,***,3.2 ,2.3, 4.2,9,stable,-0.8 ,-3.0, 1.3
"Robeson County",37155,***,2.6 ,1.5, 4.2,3,*,*,*,*
"Alexander County",37003,***,* ,*, *,3 or fewer,*,*,*,*
"Alleghany County",37005,***,* ,*, *,3 or fewer,*,*,*,*
"Anson County",37007,***,* ,*, *,3 or fewer,*,*,*,*
"Ashe County",37009,***,* ,*, *,3 or fewer,*,*,*,*
"Avery County",37011,***,* ,*, *,3 or fewer,*,*,*,*
"Bertie County",37015,***,* ,*, *,3 or fewer,*,*,*,*
"Bladen County",37017,***,* ,*, *,3 or fewer,*,*,*,*
