------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Maine",23000,0.3,4416,"6 of 51"
"United States",00000,0.7,2074097,"N/A"
"Somerset County",23025,0.1,45,"854 of 3140"
"Piscataquis County",23021,0.1,19,"1011 of 3140"
"Franklin County",23007,0.1,42,"1198 of 3140"
"Oxford County",23017,0.2,91,"1328 of 3140"
"Aroostook County",23003,0.2,125,"1481 of 3140"
"Sagadahoc County",23023,0.2,64,"1486 of 3140"
"York County",23031,0.2,377,"1515 of 3140"
"Penobscot County",23019,0.2,347,"1721 of 3140"
"Washington County",23029,0.3,81,"1842 of 3140"
"Knox County",23013,0.3,108,"1916 of 3140"
"Kennebec County",23011,0.3,384,"2088 of 3140"
"Androscoggin County",23001,0.3,355,"2131 of 3140"
"Lincoln County",23015,0.4,121,"2207 of 3140"
"Cumberland County",23005,0.6,1685,"2649 of 3140"
"Waldo County",23027,0.6,234,"2664 of 3140"
"Hancock County",23009,0.6,338,"2699 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
