------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Maine",23000,18.3,35713,"31 of 51"
"Androscoggin County",23001,15.4,2814,"1303 of 3139"
"Kennebec County",23011,16.5,3245,"1433 of 3139"
"Penobscot County",23019,17.0,4472,"1483 of 3139"
"York County",23031,17.1,3772,"1501 of 3139"
"Aroostook County",23003,17.2,2152,"1519 of 3139"
"Oxford County",23017,17.2,1893,"1519 of 3139"
"Sagadahoc County",23023,17.9,793,"1636 of 3139"
"Piscataquis County",23021,18.1,618,"1660 of 3139"
"Franklin County",23007,18.2,933,"1677 of 3139"
"Somerset County",23025,18.7,1875,"1754 of 3139"
"Knox County",23013,20.4,1019,"2024 of 3139"
"Cumberland County",23005,20.6,6600,"2053 of 3139"
"Washington County",23029,20.9,1370,"2105 of 3139"
"Hancock County",23009,21.3,1591,"2143 of 3139"
"Waldo County",23027,21.5,1510,"2174 of 3139"
"Lincoln County",23015,23.7,1056,"2439 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
