------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Maine",23000,51.1,679118,"34 of 52"
"Piscataquis County",23021,50.2,8508,"1350 of 3141"
"Penobscot County",23019,50.5,76880,"1665 of 3141"
"Oxford County",23017,50.6,28940,"1769 of 3141"
"Aroostook County",23003,50.6,34834,"1801 of 3141"
"Washington County",23029,50.6,16108,"1831 of 3141"
"Somerset County",23025,50.6,25814,"1834 of 3141"
"Knox County",23013,50.6,20099,"1845 of 3141"
"Waldo County",23027,50.9,20011,"2198 of 3141"
"Androscoggin County",23001,51.0,54767,"2277 of 3141"
"Franklin County",23007,51.2,15438,"2407 of 3141"
"Lincoln County",23015,51.2,17422,"2456 of 3141"
"Kennebec County",23011,51.2,62114,"2458 of 3141"
"York County",23031,51.2,103239,"2484 of 3141"
"Cumberland County",23005,51.4,148663,"2599 of 3141"
"Hancock County",23009,51.5,28074,"2682 of 3141"
"Sagadahoc County",23023,51.8,18207,"2821 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
