------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Maine",23000,30.3,291027,"23 of 52"
"United States",00000,30.9,66887603,"N/A"
"Somerset County",23025,16.6,6221,"2003 of 3141"
"Piscataquis County",23021,17.8,2306,"1786 of 3141"
"Aroostook County",23003,18.5,9365,"1671 of 3141"
"Oxford County",23017,18.8,7885,"1611 of 3141"
"Washington County",23029,20.9,4905,"1239 of 3141"
"Androscoggin County",23001,22.1,16429,"1096 of 3141"
"Franklin County",23007,26.1,5603,"721 of 3141"
"Penobscot County",23019,26.2,28050,"711 of 3141"
"Kennebec County",23011,26.7,23186,"677 of 3141"
"Waldo County",23027,30.3,8708,"468 of 3141"
"Knox County",23013,30.5,9100,"453 of 3141"
"York County",23031,30.9,45190,"430 of 3141"
"Hancock County",23009,32.4,13301,"358 of 3141"
"Lincoln County",23015,33.1,8609,"335 of 3141"
"Sagadahoc County",23023,34.5,8923,"283 of 3141"
"Cumberland County",23005,45.0,93246,"93 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
