------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Maine",23000,1.4,7990,"49 of 52"
"United States",00000,3.3,3975282,"N/A"
"Sagadahoc County",23023,0.7,108,"2898 of 3141"
"Washington County",23029,0.9,122,"2752 of 3141"
"Lincoln County",23015,1.1,165,"2529 of 3141"
"Franklin County",23007,1.1,132,"2452 of 3141"
"York County",23031,1.2,991,"2390 of 3141"
"Cumberland County",23005,1.2,1476,"2330 of 3141"
"Knox County",23013,1.2,212,"2326 of 3141"
"Aroostook County",23003,1.2,372,"2324 of 3141"
"Penobscot County",23019,1.4,892,"2089 of 3141"
"Piscataquis County",23021,1.5,113,"2014 of 3141"
"Oxford County",23017,1.6,332,"1922 of 3141"
"Kennebec County",23011,1.8,938,"1664 of 3141"
"Androscoggin County",23001,1.9,862,"1590 of 3141"
"Hancock County",23009,2.0,471,"1513 of 3141"
"Waldo County",23027,2.1,351,"1432 of 3141"
"Somerset County",23025,2.1,453,"1380 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
