------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Maine",23000,8.4,29262,"20 of 52"
"United States",00000,10.5,8253388,"N/A"
"York County",23031,5.4,2935,"308 of 3141"
"Cumberland County",23005,6.8,4972,"589 of 3141"
"Franklin County",23007,7.6,563,"777 of 3141"
"Hancock County",23009,7.6,1137,"796 of 3141"
"Lincoln County",23015,7.6,734,"799 of 3141"
"Sagadahoc County",23023,7.6,772,"806 of 3141"
"Knox County",23013,8.9,950,"1127 of 3141"
"Kennebec County",23011,8.9,2845,"1132 of 3141"
"Androscoggin County",23001,9.5,2621,"1282 of 3141"
"Waldo County",23027,9.6,1051,"1302 of 3141"
"Oxford County",23017,9.6,1305,"1305 of 3141"
"Penobscot County",23019,9.9,3791,"1369 of 3141"
"Aroostook County",23003,11.8,2201,"1844 of 3141"
"Piscataquis County",23021,12.1,572,"1907 of 3141"
"Washington County",23029,12.3,1088,"1960 of 3141"
"Somerset County",23025,12.6,1725,"2002 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
