------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Louisiana",22000,3.3,153779,"28 of 51"
"Tensas Parish",22107,0.8,39,"29 of 3140"
"Cameron Parish",22023,1.1,74,"61 of 3140"
"Plaquemines Parish",22075,1.4,334,"135 of 3140"
"Morehouse Parish",22067,1.6,410,"172 of 3140"
"Sabine Parish",22085,1.9,454,"290 of 3140"
"West Carroll Parish",22123,2.0,223,"331 of 3140"
"Union Parish",22111,2.0,446,"332 of 3140"
"St. James Parish",22093,2.0,428,"336 of 3140"
"Calcasieu Parish",22019,2.1,4177,"403 of 3140"
"Caddo Parish",22017,2.3,5657,"489 of 3140"
"St. Landry Parish",22097,2.3,1928,"520 of 3140"
"Vernon Parish",22115,2.4,1217,"546 of 3140"
"St. Martin Parish",22099,2.4,1291,"578 of 3140"
"Rapides Parish",22079,2.6,3354,"674 of 3140"
"Ascension Parish",22005,2.6,3090,"724 of 3140"
"Orleans Parish",22071,2.7,10334,"766 of 3140"
"Jefferson Parish",22051,2.8,11888,"806 of 3140"
"Washington Parish",22117,2.8,1295,"862 of 3140"
"Evangeline Parish",22039,2.9,952,"899 of 3140"
"St. Mary Parish",22101,2.9,1517,"925 of 3140"
"Grant Parish",22043,2.9,653,"943 of 3140"
"Assumption Parish",22007,3.0,676,"967 of 3140"
"Ouachita Parish",22073,3.0,4664,"991 of 3140"
"St. Tammany Parish",22103,3.1,7523,"1012 of 3140"
"Pointe Coupee Parish",22077,3.1,687,"1046 of 3140"
"Terrebonne Parish",22109,3.2,3521,"1088 of 3140"
"Webster Parish",22119,3.2,1251,"1105 of 3140"
"St. Charles Parish",22089,3.2,1663,"1121 of 3140"
"Livingston Parish",22063,3.2,4350,"1134 of 3140"
"Acadia Parish",22001,3.3,2047,"1213 of 3140"
"St. John the Baptist Parish",22095,3.4,1452,"1234 of 3140"
"Avoyelles Parish",22009,3.4,1375,"1250 of 3140"
"De Soto Parish",22031,3.5,933,"1333 of 3140"
"Iberia Parish",22045,3.6,2593,"1423 of 3140"
"St. Helena Parish",22091,3.7,385,"1497 of 3140"
"East Baton Rouge Parish",22033,3.7,16307,"1501 of 3140"
"La Salle Parish",22059,3.8,558,"1569 of 3140"
"West Feliciana Parish",22125,3.8,580,"1592 of 3140"
"LaFourche Parish",22057,3.8,3727,"1605 of 3140"
"Red River Parish",22081,3.9,334,"1624 of 3140"
"Bienville Parish",22013,3.9,528,"1625 of 3140"
"Lafayette Parish",22055,4.0,9508,"1736 of 3140"
"Claiborne Parish",22027,4.1,656,"1749 of 3140"
"Richland Parish",22083,4.1,833,"1752 of 3140"
"Natchitoches Parish",22069,4.1,1596,"1781 of 3140"
"Bossier Parish",22015,4.3,5371,"1889 of 3140"
"Vermilion Parish",22113,4.4,2604,"1937 of 3140"
"Franklin Parish",22041,4.5,911,"2008 of 3140"
"Allen Parish",22003,4.8,1223,"2167 of 3140"
"Winn Parish",22127,4.8,705,"2173 of 3140"
"Concordia Parish",22029,4.9,982,"2209 of 3140"
"Lincoln Parish",22061,5.1,2387,"2303 of 3140"
"Tangipahoa Parish",22105,5.1,6537,"2320 of 3140"
"Beauregard Parish",22011,5.2,1884,"2347 of 3140"
"St. Bernard Parish",22087,5.3,2358,"2399 of 3140"
"Jefferson Davis Parish",22053,5.5,1691,"2465 of 3140"
"Caldwell Parish",22021,5.9,583,"2601 of 3140"
"West Baton Rouge Parish",22121,5.9,1470,"2603 of 3140"
"Madison Parish",22065,6.0,683,"2625 of 3140"
"Iberville Parish",22047,6.6,2173,"2762 of 3140"
"Jackson Parish",22049,6.9,1099,"2817 of 3140"
"East Feliciana Parish",22037,7.7,1490,"2923 of 3140"
"Catahoula Parish",22025,7.7,769,"2924 of 3140"
"East Carroll Parish",22035,18.6,1351,"3138 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
