------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (API),Rank within US
"Louisiana",22000,1.8,82381,"36 of 52"
"United States",00000,5.5,17756436,"N/A"
"East Carroll Parish",22035,0.0,0,"2927 of 3141"
"Madison Parish",22065,0.0,0,"2927 of 3141"
"Winn Parish",22127,0.0,0,"2927 of 3141"
"Bienville Parish",22013,0.0,5,"2886 of 3141"
"Claiborne Parish",22027,0.0,6,"2884 of 3141"
"Franklin Parish",22041,0.0,8,"2881 of 3141"
"Iberville Parish",22047,0.1,20,"2856 of 3141"
"West Carroll Parish",22123,0.1,7,"2851 of 3141"
"Tensas Parish",22107,0.1,4,"2816 of 3141"
"La Salle Parish",22059,0.1,14,"2792 of 3141"
"Acadia Parish",22001,0.1,83,"2712 of 3141"
"Pointe Coupee Parish",22077,0.2,34,"2677 of 3141"
"East Feliciana Parish",22037,0.2,31,"2673 of 3141"
"Catahoula Parish",22025,0.2,16,"2672 of 3141"
"Caldwell Parish",22021,0.2,16,"2668 of 3141"
"Grant Parish",22043,0.2,44,"2588 of 3141"
"St. Helena Parish",22091,0.2,23,"2544 of 3141"
"Union Parish",22111,0.2,50,"2538 of 3141"
"De Soto Parish",22031,0.2,64,"2518 of 3141"
"St. James Parish",22093,0.2,51,"2515 of 3141"
"Washington Parish",22117,0.2,112,"2506 of 3141"
"Avoyelles Parish",22009,0.3,107,"2469 of 3141"
"Red River Parish",22081,0.3,24,"2448 of 3141"
"Assumption Parish",22007,0.3,63,"2446 of 3141"
"Cameron Parish",22023,0.3,19,"2431 of 3141"
"St. Landry Parish",22097,0.3,258,"2368 of 3141"
"West Baton Rouge Parish",22121,0.3,80,"2355 of 3141"
"Webster Parish",22119,0.3,131,"2332 of 3141"
"Concordia Parish",22029,0.3,69,"2295 of 3141"
"Evangeline Parish",22039,0.4,122,"2256 of 3141"
"Beauregard Parish",22011,0.4,146,"2153 of 3141"
"Morehouse Parish",22067,0.4,113,"2067 of 3141"
"Jefferson Davis Parish",22053,0.4,139,"2033 of 3141"
"Jackson Parish",22049,0.5,76,"1944 of 3141"
"Sabine Parish",22085,0.5,116,"1931 of 3141"
"Livingston Parish",22063,0.5,672,"1907 of 3141"
"West Feliciana Parish",22125,0.5,80,"1833 of 3141"
"Richland Parish",22083,0.5,113,"1759 of 3141"
"Natchitoches Parish",22069,0.7,266,"1506 of 3141"
"Allen Parish",22003,0.7,187,"1408 of 3141"
"Tangipahoa Parish",22105,0.8,973,"1355 of 3141"
"LaFourche Parish",22057,0.8,810,"1264 of 3141"
"St. John the Baptist Parish",22095,0.9,391,"1180 of 3141"
"Ascension Parish",22005,0.9,1072,"1178 of 3141"
"Terrebonne Parish",22109,0.9,1055,"1141 of 3141"
"St. Martin Parish",22099,1.0,537,"1075 of 3141"
"Ouachita Parish",22073,1.1,1653,"1014 of 3141"
"St. Charles Parish",22089,1.1,567,"999 of 3141"
"Caddo Parish",22017,1.2,3125,"854 of 3141"
"Calcasieu Parish",22019,1.4,2704,"795 of 3141"
"St. Mary Parish",22101,1.4,737,"766 of 3141"
"Rapides Parish",22079,1.6,2089,"673 of 3141"
"St. Tammany Parish",22103,1.6,3965,"667 of 3141"
"Bossier Parish",22015,1.7,2139,"622 of 3141"
"Lincoln Parish",22061,1.8,835,"609 of 3141"
"Lafayette Parish",22055,1.8,4185,"608 of 3141"
"Vermilion Parish",22113,2.2,1312,"487 of 3141"
"Vernon Parish",22115,2.3,1195,"461 of 3141"
"St. Bernard Parish",22087,2.5,1141,"419 of 3141"
"Iberia Parish",22045,2.8,2035,"367 of 3141"
"Orleans Parish",22071,3.0,11686,"331 of 3141"
"Plaquemines Parish",22075,3.3,783,"287 of 3141"
"East Baton Rouge Parish",22033,3.4,15269,"278 of 3141"
"Jefferson Parish",22051,4.3,18754,"207 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
