------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Louisiana",22000,14.1,655848,"45 of 52"
"United States",00000,14.9,47732389,"N/A"
"St. Bernard Parish",22087,10.3,4629,"3055 of 3141"
"Ascension Parish",22005,10.7,12799,"3021 of 3141"
"Vernon Parish",22115,10.9,5636,"3014 of 3141"
"Lafayette Parish",22055,11.8,28017,"2926 of 3141"
"St. Charles Parish",22089,11.8,6227,"2916 of 3141"
"Plaquemines Parish",22075,11.9,2782,"2908 of 3141"
"Livingston Parish",22063,12.2,16696,"2875 of 3141"
"West Baton Rouge Parish",22121,12.6,3203,"2830 of 3141"
"Lincoln Parish",22061,12.6,5993,"2822 of 3141"
"St. John the Baptist Parish",22095,12.6,5505,"2816 of 3141"
"East Baton Rouge Parish",22033,12.8,57209,"2783 of 3141"
"Orleans Parish",22071,12.9,50009,"2775 of 3141"
"Terrebonne Parish",22109,12.9,14611,"2768 of 3141"
"East Carroll Parish",22035,13.0,950,"2755 of 3141"
"Bossier Parish",22015,13.1,16497,"2732 of 3141"
"Madison Parish",22065,13.2,1530,"2725 of 3141"
"West Feliciana Parish",22125,13.2,2027,"2723 of 3141"
"Tangipahoa Parish",22105,13.3,17083,"2710 of 3141"
"St. Martin Parish",22099,13.5,7262,"2676 of 3141"
"Ouachita Parish",22073,13.6,21271,"2670 of 3141"
"Iberia Parish",22045,13.7,10069,"2649 of 3141"
"Calcasieu Parish",22019,13.9,27718,"2608 of 3141"
"Grant Parish",22043,14.0,3114,"2604 of 3141"
"Acadia Parish",22001,14.1,8798,"2588 of 3141"
"LaFourche Parish",22057,14.2,13917,"2555 of 3141"
"Allen Parish",22003,14.2,3646,"2550 of 3141"
"Vermilion Parish",22113,14.3,8551,"2535 of 3141"
"Iberville Parish",22047,14.4,4755,"2522 of 3141"
"Evangeline Parish",22039,14.5,4910,"2484 of 3141"
"Beauregard Parish",22011,14.9,5438,"2408 of 3141"
"St. Mary Parish",22101,14.9,7829,"2404 of 3141"
"St. Landry Parish",22097,15.1,12591,"2359 of 3141"
"Rapides Parish",22079,15.2,20016,"2338 of 3141"
"St. Tammany Parish",22103,15.4,38299,"2287 of 3141"
"St. James Parish",22093,15.4,3304,"2284 of 3141"
"Natchitoches Parish",22069,15.4,6006,"2283 of 3141"
"Caddo Parish",22017,15.4,38735,"2275 of 3141"
"Jefferson Davis Parish",22053,15.6,4894,"2228 of 3141"
"Cameron Parish",22023,15.6,1063,"2213 of 3141"
"Jefferson Parish",22051,15.6,68345,"2210 of 3141"
"Avoyelles Parish",22009,15.7,6468,"2181 of 3141"
"Catahoula Parish",22025,15.9,1593,"2150 of 3141"
"Assumption Parish",22007,15.9,3629,"2149 of 3141"
"La Salle Parish",22059,16.0,2385,"2107 of 3141"
"East Feliciana Parish",22037,16.0,3133,"2091 of 3141"
"Concordia Parish",22029,16.1,3262,"2056 of 3141"
"Richland Parish",22083,16.2,3330,"2052 of 3141"
"De Soto Parish",22031,16.5,4484,"1938 of 3141"
"Washington Parish",22117,16.8,7803,"1839 of 3141"
"Winn Parish",22127,17.0,2494,"1759 of 3141"
"Franklin Parish",22041,17.2,3497,"1731 of 3141"
"Morehouse Parish",22067,17.2,4520,"1717 of 3141"
"Caldwell Parish",22021,17.2,1723,"1699 of 3141"
"St. Helena Parish",22091,17.5,1840,"1607 of 3141"
"Red River Parish",22081,17.8,1550,"1514 of 3141"
"Claiborne Parish",22027,18.2,2963,"1391 of 3141"
"West Carroll Parish",22123,18.3,2062,"1354 of 3141"
"Webster Parish",22119,18.4,7375,"1320 of 3141"
"Pointe Coupee Parish",22077,18.7,4159,"1241 of 3141"
"Jackson Parish",22049,18.9,3011,"1170 of 3141"
"Union Parish",22111,19.0,4292,"1117 of 3141"
"Sabine Parish",22085,19.2,4632,"1076 of 3141"
"Bienville Parish",22013,19.3,2665,"1040 of 3141"
"Tensas Parish",22107,21.9,1044,"506 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
