------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Louisiana",22000,14.9,166858,"49 of 52"
"Cameron Parish",22023,7.1,145,"652 of 3141"
"West Feliciana Parish",22125,7.6,185,"778 of 3141"
"St. Tammany Parish",22103,8.2,5377,"933 of 3141"
"Ascension Parish",22005,9.3,2914,"1204 of 3141"
"St. Charles Parish",22089,9.3,1330,"1224 of 3141"
"St. James Parish",22093,10.7,590,"1566 of 3141"
"Livingston Parish",22063,10.7,3837,"1587 of 3141"
"Pointe Coupee Parish",22077,11.3,652,"1733 of 3141"
"LaFourche Parish",22057,11.5,2932,"1791 of 3141"
"Vermilion Parish",22113,11.6,1749,"1815 of 3141"
"Lafayette Parish",22055,11.9,6696,"1863 of 3141"
"Jefferson Parish",22051,12.6,13464,"2017 of 3141"
"Bossier Parish",22015,12.7,4077,"2040 of 3141"
"Calcasieu Parish",22019,12.7,6403,"2042 of 3141"
"East Baton Rouge Parish",22033,12.8,12845,"2059 of 3141"
"Beauregard Parish",22011,12.8,1192,"2065 of 3141"
"East Feliciana Parish",22037,13.1,638,"2125 of 3141"
"West Baton Rouge Parish",22121,13.1,909,"2131 of 3141"
"Assumption Parish",22007,13.3,785,"2153 of 3141"
"Allen Parish",22003,13.3,684,"2158 of 3141"
"Vernon Parish",22115,13.7,1723,"2239 of 3141"
"Sabine Parish",22085,14.5,893,"2375 of 3141"
"West Carroll Parish",22123,15.0,441,"2454 of 3141"
"St. Martin Parish",22099,15.2,2120,"2477 of 3141"
"Terrebonne Parish",22109,15.3,4193,"2492 of 3141"
"St. John the Baptist Parish",22095,15.4,1808,"2508 of 3141"
"St. Mary Parish",22101,15.5,1793,"2524 of 3141"
"Rapides Parish",22079,15.6,4999,"2530 of 3141"
"Iberville Parish",22047,15.7,1220,"2548 of 3141"
"Caldwell Parish",22021,15.9,375,"2558 of 3141"
"Plaquemines Parish",22075,16.1,1036,"2577 of 3141"
"Red River Parish",22081,16.4,346,"2614 of 3141"
"Iberia Parish",22045,16.6,3065,"2646 of 3141"
"Grant Parish",22043,16.8,787,"2664 of 3141"
"Union Parish",22111,16.9,901,"2681 of 3141"
"Acadia Parish",22001,17.0,2629,"2683 of 3141"
"St. Bernard Parish",22087,17.5,1830,"2729 of 3141"
"Tangipahoa Parish",22105,17.7,5640,"2741 of 3141"
"Jefferson Davis Parish",22053,17.7,1372,"2742 of 3141"
"Caddo Parish",22017,18.2,10953,"2783 of 3141"
"Catahoula Parish",22025,18.4,475,"2792 of 3141"
"Jackson Parish",22049,18.6,763,"2808 of 3141"
"Webster Parish",22119,18.8,1848,"2828 of 3141"
"Natchitoches Parish",22069,18.9,1533,"2838 of 3141"
"Avoyelles Parish",22009,18.9,1902,"2840 of 3141"
"Lincoln Parish",22061,19.1,2001,"2849 of 3141"
"Orleans Parish",22071,19.3,14658,"2863 of 3141"
"Washington Parish",22117,19.5,2264,"2872 of 3141"
"Ouachita Parish",22073,19.6,7291,"2877 of 3141"
"Evangeline Parish",22039,20.4,1580,"2913 of 3141"
"St. Helena Parish",22091,20.5,571,"2923 of 3141"
"De Soto Parish",22031,20.6,1457,"2925 of 3141"
"Franklin Parish",22041,21.2,1074,"2955 of 3141"
"Richland Parish",22083,21.9,1118,"2973 of 3141"
"Bienville Parish",22013,22.1,846,"2988 of 3141"
"Morehouse Parish",22067,23.2,1474,"3007 of 3141"
"La Salle Parish",22059,23.5,845,"3014 of 3141"
"Winn Parish",22127,23.7,875,"3023 of 3141"
"St. Landry Parish",22097,24.2,4942,"3032 of 3141"
"Concordia Parish",22029,25.1,1250,"3043 of 3141"
"Claiborne Parish",22027,25.1,945,"3044 of 3141"
"Tensas Parish",22107,27.4,303,"3078 of 3141"
"Madison Parish",22065,29.4,705,"3095 of 3141"
"East Carroll Parish",22035,41.8,610,"3138 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
