------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Dollars),Rank within US
"Louisiana",22000,46710.000000000,"46 of 52"
"United States",00000,57652.000000000,"N/A"
"East Carroll Parish",22035,20795.000000000,"3138 of 3141"
"Tensas Parish",22107,21906.000000000,"3133 of 3141"
"Claiborne Parish",22027,26877.000000000,"3099 of 3141"
"Natchitoches Parish",22069,29001.000000000,"3079 of 3141"
"Madison Parish",22065,29424.000000000,"3071 of 3141"
"Winn Parish",22127,29472.000000000,"3070 of 3141"
"Concordia Parish",22029,30028.000000000,"3058 of 3141"
"Webster Parish",22119,30891.000000000,"3036 of 3141"
"Morehouse Parish",22067,31672.000000000,"3014 of 3141"
"Evangeline Parish",22039,31745.000000000,"3013 of 3141"
"Caldwell Parish",22021,31933.000000000,"3005 of 3141"
"St. Landry Parish",22097,32163.000000000,"2991 of 3141"
"Washington Parish",22117,32962.000000000,"2962 of 3141"
"Bienville Parish",22013,34077.000000000,"2915 of 3141"
"Lincoln Parish",22061,34424.000000000,"2904 of 3141"
"Catahoula Parish",22025,34470.000000000,"2902 of 3141"
"La Salle Parish",22059,34712.000000000,"2889 of 3141"
"Franklin Parish",22041,34722.000000000,"2888 of 3141"
"Richland Parish",22083,34745.000000000,"2887 of 3141"
"St. Helena Parish",22091,35254.000000000,"2857 of 3141"
"Jackson Parish",22049,36394.000000000,"2774 of 3141"
"Avoyelles Parish",22009,36763.000000000,"2740 of 3141"
"West Carroll Parish",22123,37304.000000000,"2694 of 3141"
"Orleans Parish",22071,38721.000000000,"2592 of 3141"
"Union Parish",22111,38916.000000000,"2565 of 3141"
"Ouachita Parish",22073,40081.000000000,"2464 of 3141"
"Caddo Parish",22017,40391.000000000,"2441 of 3141"
"Acadia Parish",22001,40492.000000000,"2427 of 3141"
"Grant Parish",22043,40577.000000000,"2421 of 3141"
"Sabine Parish",22085,40695.000000000,"2402 of 3141"
"Jefferson Davis Parish",22053,40744.000000000,"2394 of 3141"
"St. Mary Parish",22101,41345.000000000,"2322 of 3141"
"De Soto Parish",22031,41443.000000000,"2314 of 3141"
"Red River Parish",22081,41510.000000000,"2303 of 3141"
"Allen Parish",22003,42176.000000000,"2223 of 3141"
"Rapides Parish",22079,42655.000000000,"2175 of 3141"
"Pointe Coupee Parish",22077,43964.000000000,"2044 of 3141"
"Iberia Parish",22045,44504.000000000,"1987 of 3141"
"St. Bernard Parish",22087,45265.000000000,"1898 of 3141"
"Tangipahoa Parish",22105,45901.000000000,"1823 of 3141"
"Vernon Parish",22115,46620.000000000,"1727 of 3141"
"East Feliciana Parish",22037,46964.000000000,"1686 of 3141"
"Iberville Parish",22047,47128.000000000,"1673 of 3141"
"St. Martin Parish",22099,47279.000000000,"1652 of 3141"
"Beauregard Parish",22011,47350.000000000,"1643 of 3141"
"Terrebonne Parish",22109,47650.000000000,"1606 of 3141"
"Calcasieu Parish",22019,48219.000000000,"1552 of 3141"
"Assumption Parish",22007,48656.000000000,"1498 of 3141"
"Vermilion Parish",22113,49266.000000000,"1442 of 3141"
"Plaquemines Parish",22075,49635.000000000,"1406 of 3141"
"Jefferson Parish",22051,50868.000000000,"1251 of 3141"
"East Baton Rouge Parish",22033,51436.000000000,"1185 of 3141"
"St. James Parish",22093,52055.000000000,"1111 of 3141"
"Bossier Parish",22015,52145.000000000,"1103 of 3141"
"LaFourche Parish",22057,52705.000000000,"1041 of 3141"
"St. John the Baptist Parish",22095,53628.000000000,"968 of 3141"
"Lafayette Parish",22055,53950.000000000,"926 of 3141"
"West Feliciana Parish",22125,55647.000000000,"794 of 3141"
"Cameron Parish",22023,60194.000000000,"514 of 3141"
"Livingston Parish",22063,60456.000000000,"499 of 3141"
"West Baton Rouge Parish",22121,60902.000000000,"471 of 3141"
"St. Charles Parish",22089,64707.000000000,"332 of 3141"
"St. Tammany Parish",22103,66539.000000000,"278 of 3141"
"Ascension Parish",22005,74748.000000000,"161 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
