------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Louisiana",22000,2.4,41312,"22 of 52"
"United States",00000,3.3,3975282,"N/A"
"West Carroll Parish",22123,0.8,33,"2821 of 3141"
"Winn Parish",22127,1.1,60,"2489 of 3141"
"Grant Parish",22043,1.2,89,"2353 of 3141"
"Vernon Parish",22115,1.3,231,"2275 of 3141"
"Claiborne Parish",22027,1.3,80,"2208 of 3141"
"Natchitoches Parish",22069,1.4,197,"2194 of 3141"
"St. Tammany Parish",22103,1.6,1428,"1955 of 3141"
"Assumption Parish",22007,1.6,141,"1892 of 3141"
"St. Helena Parish",22091,1.7,66,"1857 of 3141"
"Orleans Parish",22071,1.7,2649,"1791 of 3141"
"Jackson Parish",22049,1.8,106,"1748 of 3141"
"Caddo Parish",22017,1.8,1776,"1678 of 3141"
"St. Charles Parish",22089,1.9,353,"1629 of 3141"
"West Feliciana Parish",22125,1.9,74,"1616 of 3141"
"Tangipahoa Parish",22105,2.0,932,"1541 of 3141"
"La Salle Parish",22059,2.0,101,"1496 of 3141"
"Ascension Parish",22005,2.0,853,"1463 of 3141"
"De Soto Parish",22031,2.1,212,"1447 of 3141"
"St. Bernard Parish",22087,2.1,306,"1433 of 3141"
"Jefferson Parish",22051,2.1,3544,"1402 of 3141"
"Sabine Parish",22085,2.2,202,"1299 of 3141"
"Red River Parish",22081,2.2,75,"1274 of 3141"
"LaFourche Parish",22057,2.2,806,"1266 of 3141"
"Lincoln Parish",22061,2.2,389,"1256 of 3141"
"Bienville Parish",22013,2.2,131,"1252 of 3141"
"Lafayette Parish",22055,2.3,2020,"1241 of 3141"
"Rapides Parish",22079,2.3,1092,"1226 of 3141"
"East Baton Rouge Parish",22033,2.4,3940,"1149 of 3141"
"Ouachita Parish",22073,2.4,1342,"1140 of 3141"
"Beauregard Parish",22011,2.4,317,"1126 of 3141"
"St. John the Baptist Parish",22095,2.4,370,"1106 of 3141"
"Webster Parish",22119,2.4,386,"1076 of 3141"
"West Baton Rouge Parish",22121,2.4,230,"1074 of 3141"
"Catahoula Parish",22025,2.5,92,"1064 of 3141"
"East Feliciana Parish",22037,2.5,168,"1057 of 3141"
"Calcasieu Parish",22019,2.5,1903,"1051 of 3141"
"Richland Parish",22083,2.5,187,"1023 of 3141"
"Bossier Parish",22015,2.5,1220,"995 of 3141"
"Union Parish",22111,2.7,217,"867 of 3141"
"Morehouse Parish",22067,2.7,276,"855 of 3141"
"Caldwell Parish",22021,2.7,101,"850 of 3141"
"Livingston Parish",22063,2.9,1423,"776 of 3141"
"Plaquemines Parish",22075,3.0,260,"757 of 3141"
"Terrebonne Parish",22109,3.0,1204,"742 of 3141"
"St. Mary Parish",22101,3.0,608,"720 of 3141"
"St. James Parish",22093,3.1,245,"681 of 3141"
"Tensas Parish",22107,3.1,60,"679 of 3141"
"Franklin Parish",22041,3.2,241,"650 of 3141"
"St. Landry Parish",22097,3.2,977,"634 of 3141"
"Concordia Parish",22029,3.5,257,"538 of 3141"
"Acadia Parish",22001,3.5,785,"536 of 3141"
"Washington Parish",22117,3.6,625,"498 of 3141"
"Iberia Parish",22045,3.7,969,"471 of 3141"
"Avoyelles Parish",22009,3.7,558,"449 of 3141"
"Cameron Parish",22023,3.8,101,"438 of 3141"
"Evangeline Parish",22039,3.8,455,"424 of 3141"
"Vermilion Parish",22113,4.1,884,"365 of 3141"
"Iberville Parish",22047,4.2,466,"336 of 3141"
"St. Martin Parish",22099,4.4,849,"308 of 3141"
"Pointe Coupee Parish",22077,4.4,386,"307 of 3141"
"Allen Parish",22003,4.4,344,"306 of 3141"
"Madison Parish",22065,4.6,189,"260 of 3141"
"Jefferson Davis Parish",22053,4.7,542,"246 of 3141"
"East Carroll Parish",22035,7.8,189,"85 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
