------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Louisiana",22000,7.7,356086,"17 of 51"
"United States",00000,8.4,26717038,"N/A"
"Cameron Parish",22023,0.6,43,"15 of 3140"
"Union Parish",22111,1.7,380,"71 of 3140"
"St. Helena Parish",22091,2.1,219,"108 of 3140"
"St. Charles Parish",22089,2.7,1401,"185 of 3140"
"Red River Parish",22081,2.8,237,"198 of 3140"
"Plaquemines Parish",22075,2.8,645,"207 of 3140"
"Claiborne Parish",22027,2.9,471,"241 of 3140"
"Grant Parish",22043,3.0,656,"253 of 3140"
"St. James Parish",22093,3.1,656,"281 of 3140"
"Morehouse Parish",22067,3.4,876,"337 of 3140"
"Catahoula Parish",22025,3.6,361,"404 of 3140"
"East Feliciana Parish",22037,3.7,706,"417 of 3140"
"West Feliciana Parish",22125,3.7,559,"428 of 3140"
"St. Martin Parish",22099,4.0,2133,"544 of 3140"
"Natchitoches Parish",22069,4.6,1782,"752 of 3140"
"Tensas Parish",22107,4.7,218,"766 of 3140"
"Webster Parish",22119,4.7,1840,"768 of 3140"
"De Soto Parish",22031,4.7,1260,"776 of 3140"
"Franklin Parish",22041,4.8,967,"827 of 3140"
"Assumption Parish",22007,5.0,1143,"937 of 3140"
"East Carroll Parish",22035,5.1,367,"946 of 3140"
"West Carroll Parish",22123,5.3,597,"1089 of 3140"
"Jackson Parish",22049,5.4,862,"1128 of 3140"
"St. John the Baptist Parish",22095,5.5,2387,"1172 of 3140"
"Iberville Parish",22047,5.7,1892,"1286 of 3140"
"Caldwell Parish",22021,5.9,589,"1382 of 3140"
"LaFourche Parish",22057,5.9,5737,"1389 of 3140"
"Beauregard Parish",22011,5.9,2155,"1400 of 3140"
"Bossier Parish",22015,6.0,7411,"1421 of 3140"
"St. Landry Parish",22097,6.0,4968,"1440 of 3140"
"Livingston Parish",22063,6.1,8286,"1494 of 3140"
"Bienville Parish",22013,6.3,854,"1567 of 3140"
"Acadia Parish",22001,6.4,3925,"1618 of 3140"
"Ascension Parish",22005,6.4,7492,"1627 of 3140"
"West Baton Rouge Parish",22121,6.4,1607,"1633 of 3140"
"Sabine Parish",22085,6.5,1545,"1663 of 3140"
"Jefferson Parish",22051,6.5,27977,"1669 of 3140"
"St. Bernard Parish",22087,6.5,2894,"1689 of 3140"
"Concordia Parish",22029,7.0,1408,"1886 of 3140"
"Avoyelles Parish",22009,7.1,2885,"1912 of 3140"
"Madison Parish",22065,7.2,821,"1947 of 3140"
"St. Tammany Parish",22103,7.3,17965,"1998 of 3140"
"Vernon Parish",22115,7.3,3735,"2007 of 3140"
"Allen Parish",22003,7.3,1854,"2013 of 3140"
"Pointe Coupee Parish",22077,7.4,1638,"2058 of 3140"
"Winn Parish",22127,7.6,1100,"2109 of 3140"
"Rapides Parish",22079,7.7,10014,"2157 of 3140"
"Richland Parish",22083,7.7,1571,"2165 of 3140"
"La Salle Parish",22059,8.0,1170,"2255 of 3140"
"Terrebonne Parish",22109,8.1,9091,"2316 of 3140"
"Jefferson Davis Parish",22053,8.3,2565,"2354 of 3140"
"Ouachita Parish",22073,8.4,12972,"2382 of 3140"
"St. Mary Parish",22101,8.6,4458,"2430 of 3140"
"Washington Parish",22117,8.6,3937,"2438 of 3140"
"Orleans Parish",22071,8.7,33278,"2465 of 3140"
"Tangipahoa Parish",22105,8.7,11059,"2469 of 3140"
"Caddo Parish",22017,9.0,22211,"2544 of 3140"
"Vermilion Parish",22113,9.1,5337,"2577 of 3140"
"Evangeline Parish",22039,9.4,3110,"2660 of 3140"
"Iberia Parish",22045,9.8,7080,"2746 of 3140"
"Lafayette Parish",22055,10.3,24186,"2838 of 3140"
"East Baton Rouge Parish",22033,10.4,45676,"2851 of 3140"
"Calcasieu Parish",22019,11.2,22046,"2963 of 3140"
"Lincoln Parish",22061,14.6,6821,"3119 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
