------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Louisiana",22000,95.0,4431753,"39 of 52"
"Jefferson Parish",22051,85.7,374704,"536 of 3141"
"St. Bernard Parish",22087,90.1,40608,"741 of 3141"
"Vernon Parish",22115,90.6,47049,"780 of 3141"
"St. Mary Parish",22101,93.2,48980,"1010 of 3141"
"Plaquemines Parish",22075,93.3,21832,"1035 of 3141"
"Bossier Parish",22015,93.5,117494,"1054 of 3141"
"St. Charles Parish",22089,94.2,49666,"1157 of 3141"
"St. John the Baptist Parish",22095,94.2,41041,"1161 of 3141"
"Cameron Parish",22023,94.5,6429,"1211 of 3141"
"Orleans Parish",22071,94.5,366734,"1214 of 3141"
"St. Tammany Parish",22103,94.6,235701,"1235 of 3141"
"Ascension Parish",22005,94.7,112868,"1264 of 3141"
"Terrebonne Parish",22109,95.0,107369,"1309 of 3141"
"Grant Parish",22043,95.1,21221,"1348 of 3141"
"Allen Parish",22003,95.1,24422,"1349 of 3141"
"Union Parish",22111,95.3,21487,"1389 of 3141"
"Lafayette Parish",22055,95.4,227358,"1413 of 3141"
"LaFourche Parish",22057,95.6,93831,"1461 of 3141"
"Tangipahoa Parish",22105,95.9,123576,"1539 of 3141"
"Iberia Parish",22045,96.0,70385,"1553 of 3141"
"East Baton Rouge Parish",22033,96.0,428342,"1565 of 3141"
"Sabine Parish",22085,96.2,23224,"1609 of 3141"
"Beauregard Parish",22011,96.3,35255,"1650 of 3141"
"Livingston Parish",22063,96.5,132355,"1714 of 3141"
"Evangeline Parish",22039,96.6,32588,"1717 of 3141"
"Vermilion Parish",22113,96.7,57878,"1762 of 3141"
"West Carroll Parish",22123,96.8,10909,"1780 of 3141"
"Calcasieu Parish",22019,96.8,192358,"1789 of 3141"
"Caldwell Parish",22021,96.9,9687,"1827 of 3141"
"West Baton Rouge Parish",22121,97.0,24750,"1881 of 3141"
"Rapides Parish",22079,97.0,128121,"1885 of 3141"
"Lincoln Parish",22061,97.1,46150,"1913 of 3141"
"St. Martin Parish",22099,97.2,52105,"1963 of 3141"
"La Salle Parish",22059,97.2,14513,"1975 of 3141"
"De Soto Parish",22031,97.2,26408,"1977 of 3141"
"Caddo Parish",22017,97.2,244090,"1979 of 3141"
"Assumption Parish",22007,97.2,22247,"1982 of 3141"
"Iberville Parish",22047,97.5,32285,"2102 of 3141"
"Pointe Coupee Parish",22077,97.5,21721,"2135 of 3141"
"Acadia Parish",22001,97.6,61107,"2165 of 3141"
"Jefferson Davis Parish",22053,97.7,30696,"2241 of 3141"
"Ouachita Parish",22073,97.8,153022,"2280 of 3141"
"Natchitoches Parish",22069,97.8,38207,"2290 of 3141"
"Washington Parish",22117,97.9,45480,"2337 of 3141"
"Richland Parish",22083,97.9,20192,"2347 of 3141"
"St. Landry Parish",22097,98.0,81897,"2368 of 3141"
"Madison Parish",22065,98.0,11385,"2388 of 3141"
"Red River Parish",22081,98.1,8553,"2411 of 3141"
"Winn Parish",22127,98.1,14350,"2425 of 3141"
"Avoyelles Parish",22009,98.2,40341,"2470 of 3141"
"Webster Parish",22119,98.2,39310,"2473 of 3141"
"Tensas Parish",22107,98.2,4684,"2478 of 3141"
"Bienville Parish",22013,98.3,13568,"2539 of 3141"
"Jackson Parish",22049,98.4,15701,"2621 of 3141"
"St. James Parish",22093,98.4,21149,"2628 of 3141"
"Catahoula Parish",22025,98.5,9891,"2663 of 3141"
"West Feliciana Parish",22125,98.5,15143,"2664 of 3141"
"East Feliciana Parish",22037,98.5,19257,"2668 of 3141"
"Claiborne Parish",22027,98.6,16062,"2726 of 3141"
"Concordia Parish",22029,98.7,19945,"2791 of 3141"
"Morehouse Parish",22067,98.7,25960,"2834 of 3141"
"East Carroll Parish",22035,99.5,7280,"3062 of 3141"
"St. Helena Parish",22091,99.8,10485,"3117 of 3141"
"Franklin Parish",22041,99.8,20347,"3118 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
