------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"Louisiana",22000,32.2,1500648,"3 of 52"
"Cameron Parish",22023,2.8,190,"1449 of 3141"
"Livingston Parish",22063,6.0,8191,"1043 of 3141"
"St. Tammany Parish",22103,11.7,29050,"716 of 3141"
"La Salle Parish",22059,12.1,1805,"706 of 3141"
"Beauregard Parish",22011,12.7,4637,"692 of 3141"
"LaFourche Parish",22057,13.1,12819,"678 of 3141"
"Vermilion Parish",22113,14.3,8549,"634 of 3141"
"Vernon Parish",22115,14.6,7603,"621 of 3141"
"Grant Parish",22043,15.3,3408,"602 of 3141"
"West Carroll Parish",22123,15.9,1789,"593 of 3141"
"Jefferson Davis Parish",22053,16.3,5115,"583 of 3141"
"Sabine Parish",22085,16.6,4001,"575 of 3141"
"Caldwell Parish",22021,17.0,1695,"570 of 3141"
"Acadia Parish",22001,17.7,11053,"552 of 3141"
"Terrebonne Parish",22109,19.3,21799,"510 of 3141"
"Allen Parish",22003,19.5,5004,"507 of 3141"
"Plaquemines Parish",22075,20.9,4881,"480 of 3141"
"Ascension Parish",22005,21.9,26036,"460 of 3141"
"Bossier Parish",22015,21.9,27490,"459 of 3141"
"St. Bernard Parish",22087,22.6,10176,"447 of 3141"
"Calcasieu Parish",22019,24.7,49119,"408 of 3141"
"Union Parish",22111,25.4,5731,"398 of 3141"
"Lafayette Parish",22055,25.8,61476,"388 of 3141"
"St. Charles Parish",22089,26.6,14008,"379 of 3141"
"Jefferson Parish",22051,26.6,116282,"378 of 3141"
"Evangeline Parish",22039,27.6,9302,"361 of 3141"
"St. Martin Parish",22099,29.4,15768,"332 of 3141"
"Tangipahoa Parish",22105,29.5,37995,"329 of 3141"
"Assumption Parish",22007,29.8,6810,"321 of 3141"
"Jackson Parish",22049,30.1,4796,"315 of 3141"
"Washington Parish",22117,30.1,13993,"314 of 3141"
"Avoyelles Parish",22009,30.1,12382,"313 of 3141"
"St. Mary Parish",22101,31.1,16362,"298 of 3141"
"Winn Parish",22127,31.2,4569,"294 of 3141"
"Iberia Parish",22045,31.5,23101,"289 of 3141"
"Rapides Parish",22079,32.0,42291,"284 of 3141"
"Catahoula Parish",22025,32.8,3293,"275 of 3141"
"Franklin Parish",22041,33.4,6810,"266 of 3141"
"Webster Parish",22119,34.4,13775,"254 of 3141"
"Pointe Coupee Parish",22077,35.4,7885,"239 of 3141"
"Richland Parish",22083,36.1,7435,"228 of 3141"
"De Soto Parish",22031,36.9,10017,"215 of 3141"
"Red River Parish",22081,37.5,3269,"211 of 3141"
"Ouachita Parish",22073,37.5,58629,"210 of 3141"
"West Baton Rouge Parish",22121,38.8,9906,"200 of 3141"
"Lincoln Parish",22061,40.6,19322,"183 of 3141"
"Natchitoches Parish",22069,40.9,15975,"178 of 3141"
"St. Landry Parish",22097,41.0,34282,"177 of 3141"
"Concordia Parish",22029,41.1,8310,"175 of 3141"
"Bienville Parish",22013,41.5,5725,"173 of 3141"
"East Feliciana Parish",22037,44.7,8734,"137 of 3141"
"West Feliciana Parish",22125,44.9,6909,"135 of 3141"
"East Baton Rouge Parish",22033,45.7,204078,"129 of 3141"
"Morehouse Parish",22067,47.9,12606,"113 of 3141"
"Caddo Parish",22017,48.6,121934,"109 of 3141"
"Iberville Parish",22047,48.9,16195,"105 of 3141"
"St. James Parish",22093,49.8,10692,"100 of 3141"
"Claiborne Parish",22027,51.3,8360,"89 of 3141"
"St. Helena Parish",22091,54.0,5671,"78 of 3141"
"Tensas Parish",22107,55.4,2645,"69 of 3141"
"St. John the Baptist Parish",22095,55.5,24175,"68 of 3141"
"Orleans Parish",22071,59.8,232127,"48 of 3141"
"Madison Parish",22065,63.5,7374,"35 of 3141"
"East Carroll Parish",22035,71.6,5239,"21 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
