------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (White),Rank within US
"Louisiana",22000,62.4,2909599,"46 of 52"
"United States",00000,73.0,234370202,"N/A"
"East Carroll Parish",22035,27.8,2033,"3095 of 3141"
"Orleans Parish",22071,34.1,132202,"3074 of 3141"
"Madison Parish",22065,35.7,4143,"3065 of 3141"
"St. John the Baptist Parish",22095,40.7,17716,"3035 of 3141"
"Tensas Parish",22107,43.9,2096,"3008 of 3141"
"St. Helena Parish",22091,44.1,4632,"3006 of 3141"
"Claiborne Parish",22027,46.0,7504,"2987 of 3141"
"Caddo Parish",22017,46.8,117457,"2980 of 3141"
"East Baton Rouge Parish",22033,47.7,212859,"2973 of 3141"
"St. James Parish",22093,48.5,10420,"2964 of 3141"
"Iberville Parish",22047,49.5,16392,"2955 of 3141"
"Morehouse Parish",22067,49.8,13094,"2954 of 3141"
"West Feliciana Parish",22125,53.3,8203,"2917 of 3141"
"East Feliciana Parish",22037,53.7,10508,"2914 of 3141"
"Lincoln Parish",22061,53.8,25588,"2912 of 3141"
"Natchitoches Parish",22069,54.0,21094,"2909 of 3141"
"Bienville Parish",22013,55.7,7693,"2888 of 3141"
"St. Landry Parish",22097,56.2,46962,"2879 of 3141"
"Red River Parish",22081,57.6,5025,"2858 of 3141"
"Concordia Parish",22029,57.7,11654,"2856 of 3141"
"West Baton Rouge Parish",22121,58.7,14975,"2841 of 3141"
"De Soto Parish",22031,59.8,16252,"2822 of 3141"
"Ouachita Parish",22073,59.9,93733,"2821 of 3141"
"St. Mary Parish",22101,60.8,31960,"2805 of 3141"
"Pointe Coupee Parish",22077,61.4,13677,"2795 of 3141"
"Iberia Parish",22045,61.5,45077,"2794 of 3141"
"Richland Parish",22083,61.8,12740,"2783 of 3141"
"Jefferson Parish",22051,63.2,276284,"2747 of 3141"
"Webster Parish",22119,63.6,25448,"2739 of 3141"
"Rapides Parish",22079,63.8,84271,"2728 of 3141"
"Franklin Parish",22041,65.5,13344,"2692 of 3141"
"St. Martin Parish",22099,66.0,35372,"2682 of 3141"
"Catahoula Parish",22025,66.4,6672,"2668 of 3141"
"Avoyelles Parish",22009,66.6,27382,"2666 of 3141"
"Winn Parish",22127,66.9,9783,"2660 of 3141"
"Washington Parish",22117,67.1,31184,"2654 of 3141"
"Tangipahoa Parish",22105,67.2,86555,"2652 of 3141"
"Assumption Parish",22007,67.7,15487,"2638 of 3141"
"Evangeline Parish",22039,68.0,22942,"2624 of 3141"
"Jackson Parish",22049,68.1,10862,"2621 of 3141"
"Plaquemines Parish",22075,68.8,16090,"2594 of 3141"
"Lafayette Parish",22055,69.8,166189,"2567 of 3141"
"St. Bernard Parish",22087,69.9,31488,"2563 of 3141"
"St. Charles Parish",22089,69.9,36851,"2561 of 3141"
"Sabine Parish",22085,70.2,16938,"2549 of 3141"
"Calcasieu Parish",22019,70.4,139831,"2543 of 3141"
"Terrebonne Parish",22109,71.0,80237,"2534 of 3141"
"Union Parish",22111,71.8,16189,"2510 of 3141"
"Bossier Parish",22015,72.4,90976,"2497 of 3141"
"Allen Parish",22003,73.5,18865,"2465 of 3141"
"Ascension Parish",22005,73.6,87674,"2460 of 3141"
"Vernon Parish",22115,76.2,39538,"2376 of 3141"
"Acadia Parish",22001,78.8,49346,"2267 of 3141"
"Grant Parish",22043,78.8,17587,"2263 of 3141"
"LaFourche Parish",22057,78.9,77388,"2262 of 3141"
"Jefferson Davis Parish",22053,80.3,25229,"2201 of 3141"
"West Carroll Parish",22123,80.9,9116,"2175 of 3141"
"Vermilion Parish",22113,81.1,48554,"2166 of 3141"
"Caldwell Parish",22021,81.9,8187,"2135 of 3141"
"Beauregard Parish",22011,83.0,30377,"2068 of 3141"
"St. Tammany Parish",22103,83.4,207710,"2045 of 3141"
"La Salle Parish",22059,84.9,12672,"1978 of 3141"
"Livingston Parish",22063,91.0,124798,"1446 of 3141"
"Cameron Parish",22023,95.4,6494,"755 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
