------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Vermont",50000,94.5,590499,"2 of 52"
"Chittenden County",50007,90.8,146249,"1474 of 3141"
"Addison County",50001,94.5,34807,"921 of 3141"
"Grand Isle County",50013,94.7,6582,"883 of 3141"
"Windham County",50025,94.8,41072,"867 of 3141"
"Franklin County",50011,95.2,46459,"793 of 3141"
"Lamoille County",50015,95.8,24135,"658 of 3141"
"Windsor County",50027,95.9,53184,"642 of 3141"
"Washington County",50023,96.0,56325,"608 of 3141"
"Bennington County",50003,96.2,34672,"562 of 3141"
"Orleans County",50019,96.3,25951,"528 of 3141"
"Caledonia County",50005,96.3,29450,"520 of 3141"
"Essex County",50009,96.6,5992,"447 of 3141"
"Rutland County",50021,96.6,57665,"436 of 3141"
"Orange County",50017,96.7,27956,"403 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
