------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Vermont",50000,19.6,117468,"15 of 52"
"United States",00000,23.7,74202606,"N/A"
"Grand Isle County",50013,14.6,1008,"209 of 3141"
"Addison County",50001,15.4,5231,"258 of 3141"
"Franklin County",50011,16.1,7787,"307 of 3141"
"Windsor County",50027,18.2,9932,"512 of 3141"
"Chittenden County",50007,18.5,27950,"537 of 3141"
"Rutland County",50021,19.5,11217,"665 of 3141"
"Orange County",50017,19.5,5522,"668 of 3141"
"Washington County",50023,19.9,11222,"724 of 3141"
"Caledonia County",50005,21.0,6205,"887 of 3141"
"Bennington County",50003,22.3,7728,"1049 of 3141"
"Windham County",50025,22.6,9444,"1087 of 3141"
"Lamoille County",50015,24.2,5946,"1315 of 3141"
"Orleans County",50019,25.5,6644,"1515 of 3141"
"Essex County",50009,26.4,1632,"1634 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
