------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Vermont",50000,0.7,1745,"3 of 51"
"United States",00000,4.5,5305440,"N/A"
"Lamoille County",50015,0.2,16,"500 of 3140"
"Grand Isle County",50013,0.2,5,"539 of 3140"
"Orange County",50017,0.3,39,"814 of 3140"
"Bennington County",50003,0.4,58,"934 of 3140"
"Washington County",50023,0.4,97,"957 of 3140"
"Caledonia County",50005,0.4,50,"1000 of 3140"
"Windsor County",50027,0.4,108,"1062 of 3140"
"Windham County",50025,0.5,100,"1163 of 3140"
"Franklin County",50011,0.5,99,"1173 of 3140"
"Rutland County",50021,0.6,139,"1203 of 3140"
"Addison County",50001,0.7,100,"1387 of 3140"
"Orleans County",50019,0.7,84,"1447 of 3140"
"Essex County",50009,1.1,31,"1835 of 3140"
"Chittenden County",50007,1.3,819,"1930 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
