------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Vermont",50000,7.1,44021,"5 of 51"
"United States",00000,8.4,26717038,"N/A"
"Essex County",50009,2.5,152,"156 of 3140"
"Grand Isle County",50013,2.5,171,"158 of 3140"
"Orange County",50017,3.8,1080,"455 of 3140"
"Rutland County",50021,4.5,2659,"701 of 3140"
"Addison County",50001,5.3,1919,"1047 of 3140"
"Windsor County",50027,5.4,2945,"1096 of 3140"
"Orleans County",50019,5.7,1511,"1242 of 3140"
"Windham County",50025,5.7,2468,"1279 of 3140"
"Bennington County",50003,5.8,2085,"1327 of 3140"
"Franklin County",50011,5.9,2840,"1360 of 3140"
"Caledonia County",50005,6.4,1955,"1653 of 3140"
"Washington County",50023,7.1,4134,"1910 of 3140"
"Lamoille County",50015,7.4,1857,"2068 of 3140"
"Chittenden County",50007,11.4,18245,"2990 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
