------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,57652.000000000,"N/A"
"Vermont",50000,57808.000000000,"21 of 52"
"Essex County",50009,38767.000000000,"2583 of 3141"
"Orleans County",50019,45664.000000000,"1849 of 3141"
"Caledonia County",50005,47371.000000000,"1641 of 3141"
"Windham County",50025,50831.000000000,"1258 of 3141"
"Bennington County",50003,52251.000000000,"1089 of 3141"
"Rutland County",50021,52635.000000000,"1047 of 3141"
"Lamoille County",50015,54899.000000000,"846 of 3141"
"Orange County",50017,56584.000000000,"720 of 3141"
"Windsor County",50027,56828.000000000,"706 of 3141"
"Washington County",50023,60602.000000000,"493 of 3141"
"Addison County",50001,61875.000000000,"428 of 3141"
"Franklin County",50011,62214.000000000,"415 of 3141"
"Grand Isle County",50013,66111.000000000,"287 of 3141"
"Chittenden County",50007,66906.000000000,"272 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
