------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Vermont",50000,3.5,21816,"39 of 51"
"Franklin County",50011,1.4,680,"1146 of 3140"
"Grand Isle County",50013,1.8,121,"1561 of 3140"
"Orleans County",50019,2.4,635,"2083 of 3140"
"Rutland County",50021,2.7,1619,"2302 of 3140"
"Caledonia County",50005,2.7,831,"2306 of 3140"
"Orange County",50017,2.8,790,"2321 of 3140"
"Essex County",50009,2.9,180,"2409 of 3140"
"Washington County",50023,2.9,1704,"2411 of 3140"
"Windsor County",50027,3.3,1790,"2578 of 3140"
"Lamoille County",50015,3.5,883,"2672 of 3140"
"Bennington County",50003,3.7,1329,"2726 of 3140"
"Addison County",50001,3.9,1428,"2778 of 3140"
"Windham County",50025,4.0,1715,"2791 of 3140"
"Chittenden County",50007,5.1,8111,"2974 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
