------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Vermont",50000,7.3,11575,"8 of 52"
"United States",00000,10.5,8253388,"N/A"
"Addison County",50001,4.6,436,"201 of 3141"
"Grand Isle County",50013,4.7,99,"208 of 3141"
"Franklin County",50011,5.8,740,"370 of 3141"
"Chittenden County",50007,5.9,2209,"396 of 3141"
"Windsor County",50027,6.1,910,"441 of 3141"
"Rutland County",50021,7.3,1107,"714 of 3141"
"Orange County",50017,7.4,587,"724 of 3141"
"Caledonia County",50005,8.6,629,"1043 of 3141"
"Washington County",50023,8.7,1328,"1076 of 3141"
"Bennington County",50003,9.3,905,"1205 of 3141"
"Essex County",50009,9.6,165,"1301 of 3141"
"Orleans County",50019,9.7,711,"1325 of 3141"
"Windham County",50025,9.9,1109,"1395 of 3141"
"Lamoille County",50015,10.1,640,"1451 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
