------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Vermont",50000,0.3,2072,"33 of 52"
"United States",00000,0.8,2632102,"N/A"
"Bennington County",50003,0.1,31,"2684 of 3141"
"Windham County",50025,0.1,46,"2609 of 3141"
"Windsor County",50027,0.2,84,"2404 of 3141"
"Caledonia County",50005,0.2,67,"2074 of 3141"
"Addison County",50001,0.3,100,"1842 of 3141"
"Chittenden County",50007,0.3,465,"1776 of 3141"
"Washington County",50023,0.3,185,"1654 of 3141"
"Essex County",50009,0.3,20,"1628 of 3141"
"Orange County",50017,0.4,117,"1365 of 3141"
"Rutland County",50021,0.4,253,"1322 of 3141"
"Orleans County",50019,0.5,146,"1095 of 3141"
"Franklin County",50011,0.6,295,"1014 of 3141"
"Grand Isle County",50013,0.8,55,"811 of 3141"
"Lamoille County",50015,0.8,208,"780 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
