------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"United States",00000,14.9,47732389,"N/A"
"Vermont",50000,17.5,109551,"5 of 52"
"Chittenden County",50007,13.6,21842,"2675 of 3141"
"Franklin County",50011,14.5,7102,"2483 of 3141"
"Lamoille County",50015,15.6,3935,"2212 of 3141"
"Addison County",50001,17.7,6525,"1533 of 3141"
"Washington County",50023,17.8,10458,"1492 of 3141"
"Grand Isle County",50013,18.3,1275,"1342 of 3141"
"Caledonia County",50005,18.4,5616,"1336 of 3141"
"Orange County",50017,18.8,5440,"1188 of 3141"
"Rutland County",50021,20.1,11986,"838 of 3141"
"Windham County",50025,20.2,8748,"813 of 3141"
"Orleans County",50019,20.9,5631,"664 of 3141"
"Windsor County",50027,21.2,11785,"604 of 3141"
"Bennington County",50003,21.4,7723,"568 of 3141"
"Essex County",50009,23.9,1485,"303 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
