------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Vermont",50000,1.8,4611,"39 of 52"
"United States",00000,3.3,3975282,"N/A"
"Grand Isle County",50013,0.9,26,"2731 of 3141"
"Washington County",50023,1.0,253,"2588 of 3141"
"Essex County",50009,1.1,29,"2547 of 3141"
"Addison County",50001,1.1,157,"2542 of 3141"
"Bennington County",50003,1.2,181,"2396 of 3141"
"Orleans County",50019,1.4,156,"2191 of 3141"
"Windsor County",50027,1.5,369,"1986 of 3141"
"Chittenden County",50007,1.6,1051,"1889 of 3141"
"Franklin County",50011,1.7,313,"1830 of 3141"
"Caledonia County",50005,1.7,209,"1777 of 3141"
"Lamoille County",50015,1.8,188,"1702 of 3141"
"Windham County",50025,1.9,356,"1628 of 3141"
"Orange County",50017,2.1,262,"1364 of 3141"
"Rutland County",50021,4.2,1061,"328 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
