------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Vermont",50000,4.4,14969,"7 of 52"
"United States",00000,6.6,10560305,"N/A"
"Lamoille County",50015,3.8,526,"540 of 3141"
"Washington County",50023,3.9,1300,"609 of 3141"
"Chittenden County",50007,4.1,3827,"647 of 3141"
"Orange County",50017,4.3,682,"717 of 3141"
"Orleans County",50019,4.4,558,"759 of 3141"
"Addison County",50001,4.4,907,"760 of 3141"
"Bennington County",50003,4.4,804,"762 of 3141"
"Franklin County",50011,4.4,1186,"772 of 3141"
"Windsor County",50027,4.5,1315,"811 of 3141"
"Rutland County",50021,4.7,1479,"901 of 3141"
"Caledonia County",50005,4.9,741,"991 of 3141"
"Grand Isle County",50013,4.9,195,"1006 of 3141"
"Essex County",50009,5.1,149,"1075 of 3141"
"Windham County",50025,5.6,1300,"1334 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
