------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Vermont",50000,49.3,308026,"28 of 52"
"Windham County",50025,48.9,21172,"751 of 3141"
"Windsor County",50027,49.0,27171,"870 of 3141"
"Chittenden County",50007,49.0,78928,"918 of 3141"
"Rutland County",50021,49.1,29275,"947 of 3141"
"Bennington County",50003,49.1,17689,"952 of 3141"
"Grand Isle County",50013,49.4,3432,"1313 of 3141"
"Washington County",50023,49.4,28997,"1350 of 3141"
"Addison County",50001,49.5,18214,"1417 of 3141"
"Lamoille County",50015,49.6,12504,"1609 of 3141"
"Franklin County",50011,49.7,24251,"1643 of 3141"
"Orange County",50017,49.7,14358,"1645 of 3141"
"Orleans County",50019,50.2,13534,"2125 of 3141"
"Caledonia County",50005,50.3,15366,"2163 of 3141"
"Essex County",50009,50.5,3135,"2346 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
