------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Vermont",50000,98.2,613453,"50 of 52"
"Chittenden County",50007,97.8,157443,"2267 of 3141"
"Windham County",50025,97.8,42384,"2277 of 3141"
"Addison County",50001,97.8,36030,"2293 of 3141"
"Washington County",50023,98.1,57604,"2464 of 3141"
"Grand Isle County",50013,98.2,6826,"2504 of 3141"
"Bennington County",50003,98.2,35422,"2523 of 3141"
"Lamoille County",50015,98.4,24783,"2596 of 3141"
"Caledonia County",50005,98.5,30116,"2676 of 3141"
"Windsor County",50027,98.5,54652,"2680 of 3141"
"Franklin County",50011,98.6,48115,"2725 of 3141"
"Rutland County",50021,98.6,58859,"2766 of 3141"
"Orleans County",50019,98.6,26584,"2771 of 3141"
"Essex County",50009,98.7,6120,"2780 of 3141"
"Orange County",50017,98.7,28515,"2782 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
