------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Vermont",50000,74068.000000000,"21 of 52"
"Essex County",50009,48500.000000000,"2619 of 3141"
"Orleans County",50019,56299.000000000,"1932 of 3141"
"Caledonia County",50005,62734.000000000,"1269 of 3141"
"Bennington County",50003,65812.000000000,"1005 of 3141"
"Windham County",50025,66759.000000000,"938 of 3141"
"Rutland County",50021,67291.000000000,"903 of 3141"
"Lamoille County",50015,67639.000000000,"869 of 3141"
"Orange County",50017,70070.000000000,"719 of 3141"
"Windsor County",50027,74662.000000000,"471 of 3141"
"Washington County",50023,75610.000000000,"442 of 3141"
"Addison County",50001,75970.000000000,"428 of 3141"
"Franklin County",50011,76898.000000000,"395 of 3141"
"Grand Isle County",50013,77222.000000000,"383 of 3141"
"Chittenden County",50007,91080.000000000,"150 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
