------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Vermont",50000,35.4,221425,"50 of 52"
"Chittenden County",50007,32.7,52615,"1189 of 3141"
"Bennington County",50003,34.8,12561,"2294 of 3141"
"Lamoille County",50015,35.1,8845,"2415 of 3141"
"Orleans County",50019,35.3,9502,"2458 of 3141"
"Franklin County",50011,35.3,17218,"2464 of 3141"
"Caledonia County",50005,35.8,10933,"2628 of 3141"
"Addison County",50001,36.1,13283,"2730 of 3141"
"Washington County",50023,36.6,21466,"2837 of 3141"
"Windsor County",50027,36.9,20478,"2906 of 3141"
"Windham County",50025,37.0,16023,"2920 of 3141"
"Rutland County",50021,37.2,22178,"2946 of 3141"
"Orange County",50017,38.2,11043,"3047 of 3141"
"Essex County",50009,38.7,2400,"3068 of 3141"
"Grand Isle County",50013,41.4,2880,"3119 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
