------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Vermont",50000,0.4,2663,"19 of 51"
"United States",00000,0.7,2074097,"N/A"
"Essex County",50009,0.0,3,"579 of 3140"
"Caledonia County",50005,0.1,22,"734 of 3140"
"Franklin County",50011,0.1,59,"1087 of 3140"
"Orleans County",50019,0.2,47,"1438 of 3140"
"Washington County",50023,0.2,110,"1516 of 3140"
"Bennington County",50003,0.2,80,"1692 of 3140"
"Grand Isle County",50013,0.2,16,"1734 of 3140"
"Orange County",50017,0.2,70,"1790 of 3140"
"Windham County",50025,0.3,118,"1914 of 3140"
"Rutland County",50021,0.3,167,"1953 of 3140"
"Windsor County",50027,0.3,192,"2180 of 3140"
"Lamoille County",50015,0.4,91,"2226 of 3140"
"Addison County",50001,0.7,240,"2736 of 3140"
"Chittenden County",50007,0.9,1448,"2925 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
