------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Vermont",50000,11.4,68144,"13 of 52"
"United States",00000,14.6,45650345,"N/A"
"Grand Isle County",50013,7.5,518,"184 of 3141"
"Addison County",50001,7.8,2638,"212 of 3141"
"Franklin County",50011,8.0,3879,"237 of 3141"
"Windsor County",50027,10.2,5575,"576 of 3141"
"Chittenden County",50007,11.3,17057,"764 of 3141"
"Rutland County",50021,11.4,6541,"787 of 3141"
"Orange County",50017,11.5,3249,"812 of 3141"
"Washington County",50023,11.8,6658,"882 of 3141"
"Caledonia County",50005,12.3,3629,"977 of 3141"
"Bennington County",50003,12.8,4443,"1074 of 3141"
"Lamoille County",50015,14.0,3439,"1337 of 3141"
"Windham County",50025,14.1,5876,"1354 of 3141"
"Orleans County",50019,14.2,3682,"1366 of 3141"
"Essex County",50009,15.5,960,"1636 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
