------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Vermont",50000,50.7,316610,"25 of 52"
"United States",00000,50.8,162985654,"N/A"
"Essex County",50009,49.5,3068,"796 of 3141"
"Caledonia County",50005,49.7,15210,"979 of 3141"
"Orleans County",50019,49.8,13417,"1017 of 3141"
"Orange County",50017,50.3,14543,"1497 of 3141"
"Franklin County",50011,50.3,24565,"1498 of 3141"
"Lamoille County",50015,50.4,12687,"1533 of 3141"
"Addison County",50001,50.5,18611,"1725 of 3141"
"Washington County",50023,50.6,29694,"1792 of 3141"
"Grand Isle County",50013,50.6,3518,"1829 of 3141"
"Bennington County",50003,50.9,18365,"2190 of 3141"
"Rutland County",50021,50.9,30401,"2195 of 3141"
"Chittenden County",50007,51.0,82057,"2224 of 3141"
"Windsor County",50027,51.0,28314,"2272 of 3141"
"Windham County",50025,51.1,22160,"2391 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
