------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Vermont",50000,2.2,13851,"8 of 51"
"United States",00000,3.2,10247779,"N/A"
"Rutland County",50021,1.0,601,"52 of 3140"
"Orleans County",50019,1.5,399,"145 of 3140"
"Windham County",50025,1.6,701,"192 of 3140"
"Washington County",50023,1.9,1086,"270 of 3140"
"Windsor County",50027,2.0,1109,"340 of 3140"
"Chittenden County",50007,2.2,3448,"426 of 3140"
"Bennington County",50003,2.3,812,"484 of 3140"
"Franklin County",50011,2.5,1191,"597 of 3140"
"Grand Isle County",50013,2.7,187,"785 of 3140"
"Orange County",50017,3.1,894,"1059 of 3140"
"Essex County",50009,3.2,195,"1104 of 3140"
"Addison County",50001,3.4,1223,"1225 of 3140"
"Lamoille County",50015,3.5,872,"1347 of 3140"
"Caledonia County",50005,3.7,1133,"1531 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
