------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Vermont",50000,1.8,11183,"50 of 52"
"United States",00000,17.6,56510571,"N/A"
"Orange County",50017,1.3,386,"2782 of 3141"
"Essex County",50009,1.3,83,"2780 of 3141"
"Orleans County",50019,1.4,367,"2771 of 3141"
"Rutland County",50021,1.4,817,"2766 of 3141"
"Franklin County",50011,1.4,701,"2725 of 3141"
"Windsor County",50027,1.5,833,"2680 of 3141"
"Caledonia County",50005,1.5,460,"2676 of 3141"
"Lamoille County",50015,1.6,408,"2596 of 3141"
"Bennington County",50003,1.8,632,"2523 of 3141"
"Grand Isle County",50013,1.8,124,"2504 of 3141"
"Washington County",50023,1.9,1087,"2464 of 3141"
"Addison County",50001,2.2,795,"2293 of 3141"
"Windham County",50025,2.2,948,"2277 of 3141"
"Chittenden County",50007,2.2,3542,"2267 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
