------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Vermont",50000,1.6,9886,"39 of 52"
"United States",00000,5.5,17756436,"N/A"
"Orleans County",50019,0.3,90,"2317 of 3141"
"Franklin County",50011,0.4,178,"2244 of 3141"
"Orange County",50017,0.4,110,"2202 of 3141"
"Bennington County",50003,0.4,152,"2095 of 3141"
"Grand Isle County",50013,0.5,33,"1949 of 3141"
"Essex County",50009,0.5,32,"1847 of 3141"
"Lamoille County",50015,0.6,161,"1575 of 3141"
"Washington County",50023,0.7,406,"1486 of 3141"
"Caledonia County",50005,0.7,215,"1457 of 3141"
"Windsor County",50027,0.9,503,"1171 of 3141"
"Rutland County",50021,1.1,632,"1010 of 3141"
"Windham County",50025,1.1,471,"986 of 3141"
"Addison County",50001,1.9,711,"559 of 3141"
"Chittenden County",50007,3.8,6192,"240 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
