------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '50', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=50&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Vermont by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Vermont",50000,7.7,33883,"7 of 52"
"United States",00000,12.7,27437114,"N/A"
"Chittenden County",50007,6.1,6383,"202 of 3141"
"Grand Isle County",50013,6.2,321,"215 of 3141"
"Washington County",50023,6.3,2656,"248 of 3141"
"Addison County",50001,7.2,1824,"386 of 3141"
"Windsor County",50027,7.5,3126,"455 of 3141"
"Lamoille County",50015,7.6,1323,"478 of 3141"
"Windham County",50025,7.6,2427,"488 of 3141"
"Orange County",50017,7.9,1668,"557 of 3141"
"Rutland County",50021,8.2,3555,"627 of 3141"
"Bennington County",50003,8.9,2288,"767 of 3141"
"Franklin County",50011,9.3,3132,"850 of 3141"
"Caledonia County",50005,9.4,2028,"888 of 3141"
"Orleans County",50019,12.4,2436,"1574 of 3141"
"Essex County",50009,15.2,716,"2015 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
