------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"United States",00000,14.9,47732389,"N/A"
"Wisconsin",55000,15.6,896724,"23 of 52"
"Dane County",55025,12.3,64411,"2860 of 3141"
"St. Croix County",55109,12.5,10911,"2837 of 3141"
"Menominee County",55078,12.5,565,"2833 of 3141"
"Milwaukee County",55079,12.6,120158,"2826 of 3141"
"Kenosha County",55059,12.8,21520,"2785 of 3141"
"Pierce County",55093,13.2,5447,"2716 of 3141"
"Brown County",55009,13.4,34634,"2691 of 3141"
"Outagamie County",55087,13.5,24733,"2684 of 3141"
"Calumet County",55015,13.6,6754,"2673 of 3141"
"Eau Claire County",55035,14.4,14694,"2523 of 3141"
"Dunn County",55033,14.7,6485,"2459 of 3141"
"La Crosse County",55063,14.9,17569,"2389 of 3141"
"Winnebago County",55139,15.0,25384,"2379 of 3141"
"Portage County",55097,15.0,10560,"2366 of 3141"
"Racine County",55101,15.2,29650,"2326 of 3141"
"Rock County",55105,15.3,24728,"2296 of 3141"
"Jefferson County",55055,15.4,13028,"2279 of 3141"
"Monroe County",55081,15.8,7156,"2165 of 3141"
"Walworth County",55127,15.8,16306,"2156 of 3141"
"Clark County",55019,16.1,5545,"2075 of 3141"
"Marathon County",55073,16.2,21854,"2051 of 3141"
"Washington County",55131,16.3,21777,"2022 of 3141"
"Grant County",55043,16.3,8423,"2005 of 3141"
"Dodge County",55027,16.3,14317,"1996 of 3141"
"Chippewa County",55017,16.4,10402,"1973 of 3141"
"Columbia County",55021,16.5,9372,"1939 of 3141"
"Sheboygan County",55117,16.5,19006,"1936 of 3141"
"Iowa County",55049,16.8,3951,"1854 of 3141"
"Douglas County",55031,16.9,7344,"1811 of 3141"
"Fond du Lac County",55039,16.9,17280,"1797 of 3141"
"Green County",55045,17.0,6259,"1780 of 3141"
"Trempealeau County",55121,17.0,5016,"1772 of 3141"
"Waukesha County",55133,17.0,67480,"1768 of 3141"
"Lafayette County",55065,17.1,2868,"1739 of 3141"
"Sauk County",55111,17.1,10845,"1738 of 3141"
"Ashland County",55003,17.6,2784,"1560 of 3141"
"Jackson County",55053,17.8,3652,"1507 of 3141"
"Taylor County",55119,17.8,3627,"1487 of 3141"
"Ozaukee County",55089,18.1,15862,"1424 of 3141"
"Vernon County",55123,18.3,5566,"1346 of 3141"
"Kewaunee County",55061,18.8,3829,"1199 of 3141"
"Polk County",55095,18.8,8161,"1183 of 3141"
"Manitowoc County",55071,18.8,15019,"1179 of 3141"
"Oconto County",55083,19.1,7145,"1113 of 3141"
"Wood County",55141,19.2,14068,"1082 of 3141"
"Waupaca County",55135,19.6,10139,"958 of 3141"
"Juneau County",55057,19.6,5189,"957 of 3141"
"Shawano County",55115,20.0,8230,"866 of 3141"
"Lincoln County",55069,20.1,5618,"845 of 3141"
"Barron County",55005,20.5,9290,"746 of 3141"
"Pepin County",55091,20.7,1504,"702 of 3141"
"Buffalo County",55011,20.7,2740,"695 of 3141"
"Richland County",55103,20.7,3653,"688 of 3141"
"Green Lake County",55047,20.9,3926,"651 of 3141"
"Crawford County",55023,21.0,3426,"642 of 3141"
"Marinette County",55075,22.0,8968,"486 of 3141"
"Forest County",55041,22.1,1994,"480 of 3141"
"Langlade County",55067,22.2,4269,"454 of 3141"
"Waushara County",55137,22.8,5500,"402 of 3141"
"Rusk County",55107,22.8,3235,"401 of 3141"
"Marquette County",55077,23.3,3527,"358 of 3141"
"Sawyer County",55113,23.8,3906,"310 of 3141"
"Price County",55099,23.9,3240,"307 of 3141"
"Florence County",55037,24.1,1050,"281 of 3141"
"Oneida County",55085,24.3,8582,"267 of 3141"
"Washburn County",55129,24.5,3826,"250 of 3141"
"Bayfield County",55007,25.1,3766,"209 of 3141"
"Burnett County",55013,26.8,4081,"121 of 3141"
"Door County",55029,27.1,7448,"102 of 3141"
"Adams County",55001,27.4,5518,"95 of 3141"
"Iron County",55051,28.6,1643,"64 of 3141"
"Vilas County",55125,29.4,6311,"50 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
