------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Wisconsin",55000,4.7,145271,"10 of 52"
"United States",00000,6.6,10560305,"N/A"
"Calumet County",55015,2.0,560,"145 of 3141"
"Green County",55045,2.6,530,"226 of 3141"
"Pierce County",55093,2.7,651,"253 of 3141"
"Lafayette County",55065,2.7,241,"254 of 3141"
"Price County",55099,2.9,196,"295 of 3141"
"Vernon County",55123,2.9,403,"298 of 3141"
"Ozaukee County",55089,3.0,1438,"321 of 3141"
"Outagamie County",55087,3.1,3159,"342 of 3141"
"Waukesha County",55133,3.3,7175,"379 of 3141"
"Clark County",55019,3.3,536,"386 of 3141"
"Trempealeau County",55121,3.3,516,"387 of 3141"
"St. Croix County",55109,3.3,1621,"398 of 3141"
"Pepin County",55091,3.4,128,"409 of 3141"
"Green Lake County",55047,3.4,316,"424 of 3141"
"Washington County",55131,3.4,2611,"432 of 3141"
"Kewaunee County",55061,3.5,376,"437 of 3141"
"Iowa County",55049,3.5,447,"442 of 3141"
"Grant County",55043,3.5,967,"456 of 3141"
"Richland County",55103,3.5,309,"466 of 3141"
"Buffalo County",55011,3.5,251,"470 of 3141"
"Winnebago County",55139,3.6,3264,"479 of 3141"
"Sauk County",55111,3.6,1255,"491 of 3141"
"Barron County",55005,3.6,841,"507 of 3141"
"Manitowoc County",55071,3.7,1568,"516 of 3141"
"Chippewa County",55017,3.7,1201,"518 of 3141"
"Waupaca County",55135,3.8,1024,"549 of 3141"
"Dane County",55025,3.8,11703,"552 of 3141"
"Columbia County",55021,3.8,1185,"555 of 3141"
"Marathon County",55073,3.8,2830,"568 of 3141"
"Taylor County",55119,3.8,408,"572 of 3141"
"Shawano County",55115,3.9,814,"582 of 3141"
"Oneida County",55085,3.9,686,"595 of 3141"
"Fond du Lac County",55039,4.0,2204,"618 of 3141"
"Eau Claire County",55035,4.0,2324,"621 of 3141"
"Lincoln County",55069,4.0,603,"632 of 3141"
"Rusk County",55107,4.1,273,"641 of 3141"
"Crawford County",55023,4.1,323,"658 of 3141"
"Jefferson County",55055,4.3,2013,"726 of 3141"
"Juneau County",55057,4.3,536,"735 of 3141"
"Sheboygan County",55117,4.4,2723,"766 of 3141"
"Brown County",55009,4.4,6231,"802 of 3141"
"Oconto County",55083,4.5,900,"813 of 3141"
"La Crosse County",55063,4.6,3033,"876 of 3141"
"Portage County",55097,4.6,1808,"878 of 3141"
"Door County",55029,4.6,652,"882 of 3141"
"Dunn County",55033,4.7,1124,"898 of 3141"
"Jackson County",55053,4.7,474,"923 of 3141"
"Monroe County",55081,4.7,1066,"930 of 3141"
"Dodge County",55027,4.8,2205,"941 of 3141"
"Wood County",55141,4.8,1842,"963 of 3141"
"Polk County",55095,4.8,1081,"979 of 3141"
"Waushara County",55137,5.0,547,"1037 of 3141"
"Washburn County",55129,5.1,378,"1100 of 3141"
"Burnett County",55013,5.1,354,"1106 of 3141"
"Marquette County",55077,5.5,408,"1296 of 3141"
"Bayfield County",55007,5.5,409,"1300 of 3141"
"Walworth County",55127,5.6,3175,"1341 of 3141"
"Douglas County",55031,5.6,1293,"1351 of 3141"
"Marinette County",55075,5.7,1148,"1402 of 3141"
"Racine County",55101,5.8,5788,"1452 of 3141"
"Sawyer County",55113,6.2,479,"1642 of 3141"
"Rock County",55105,6.4,5285,"1726 of 3141"
"Florence County",55037,6.4,134,"1766 of 3141"
"Langlade County",55067,6.7,641,"1938 of 3141"
"Milwaukee County",55079,7.1,34930,"2094 of 3141"
"Ashland County",55003,7.2,568,"2103 of 3141"
"Iron County",55051,7.8,215,"2360 of 3141"
"Kenosha County",55059,7.8,6991,"2366 of 3141"
"Vilas County",55125,7.9,773,"2387 of 3141"
"Menominee County",55078,8.1,137,"2440 of 3141"
"Adams County",55001,8.1,664,"2453 of 3141"
"Forest County",55041,8.3,329,"2495 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
