------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Wisconsin",55000,20.3,1141996,"17 of 52"
"United States",00000,23.7,74202606,"N/A"
"Waukesha County",55133,8.9,35031,"23 of 3141"
"Washington County",55131,9.0,11894,"24 of 3141"
"St. Croix County",55109,9.4,8129,"34 of 3141"
"Ozaukee County",55089,9.7,8354,"37 of 3141"
"Calumet County",55015,11.0,5421,"66 of 3141"
"Columbia County",55021,14.6,8063,"212 of 3141"
"Door County",55029,14.9,4042,"233 of 3141"
"Outagamie County",55087,15.3,27419,"253 of 3141"
"Kewaunee County",55061,15.7,3178,"281 of 3141"
"Oneida County",55085,15.8,5464,"284 of 3141"
"Green County",55045,15.8,5747,"288 of 3141"
"Sheboygan County",55117,15.8,17733,"291 of 3141"
"Pierce County",55093,16.2,6243,"316 of 3141"
"Lincoln County",55069,16.8,4570,"365 of 3141"
"Iowa County",55049,17.0,3950,"385 of 3141"
"Oconto County",55083,17.2,6360,"407 of 3141"
"Fond du Lac County",55039,17.2,16989,"411 of 3141"
"Jefferson County",55055,17.2,14002,"414 of 3141"
"Dodge County",55027,17.2,14332,"416 of 3141"
"Dane County",55025,18.1,92061,"500 of 3141"
"Manitowoc County",55071,18.4,14523,"531 of 3141"
"Trempealeau County",55121,18.5,5358,"544 of 3141"
"Marathon County",55073,18.9,25189,"600 of 3141"
"Chippewa County",55017,19.0,11534,"609 of 3141"
"Sauk County",55111,19.5,12129,"659 of 3141"
"Waupaca County",55135,19.5,9728,"666 of 3141"
"Winnebago County",55139,19.7,31706,"692 of 3141"
"Buffalo County",55011,19.8,2598,"712 of 3141"
"Walworth County",55127,19.8,19829,"719 of 3141"
"Brown County",55009,20.0,50059,"742 of 3141"
"Monroe County",55081,20.1,8916,"760 of 3141"
"Racine County",55101,20.1,38249,"763 of 3141"
"Polk County",55095,20.2,8621,"772 of 3141"
"Florence County",55037,20.3,871,"787 of 3141"
"Wood County",55141,20.5,14833,"810 of 3141"
"Portage County",55097,20.9,13981,"864 of 3141"
"Marquette County",55077,21.0,3115,"874 of 3141"
"Shawano County",55115,21.0,8473,"886 of 3141"
"Lafayette County",55065,21.2,3518,"906 of 3141"
"Pepin County",55091,21.6,1543,"953 of 3141"
"La Crosse County",55063,21.8,24550,"987 of 3141"
"Crawford County",55023,21.9,3419,"1005 of 3141"
"Waushara County",55137,22.0,5026,"1008 of 3141"
"Taylor County",55119,22.1,4425,"1021 of 3141"
"Kenosha County",55059,22.2,36197,"1034 of 3141"
"Douglas County",55031,22.3,9424,"1047 of 3141"
"Green Lake County",55047,22.4,4134,"1056 of 3141"
"Dunn County",55033,22.5,9159,"1082 of 3141"
"Price County",55099,22.9,3051,"1135 of 3141"
"Barron County",55005,23.1,10263,"1148 of 3141"
"Eau Claire County",55035,23.3,22865,"1184 of 3141"
"Washburn County",55129,23.3,3590,"1187 of 3141"
"Bayfield County",55007,23.5,3486,"1209 of 3141"
"Jackson County",55053,23.5,4519,"1213 of 3141"
"Richland County",55103,23.6,4075,"1232 of 3141"
"Rock County",55105,23.8,37607,"1257 of 3141"
"Langlade County",55067,24.3,4580,"1332 of 3141"
"Burnett County",55013,24.4,3667,"1342 of 3141"
"Marinette County",55075,24.4,9691,"1350 of 3141"
"Adams County",55001,24.6,4668,"1384 of 3141"
"Juneau County",55057,25.0,6197,"1450 of 3141"
"Grant County",55043,25.2,12078,"1468 of 3141"
"Vilas County",55125,25.2,5354,"1477 of 3141"
"Clark County",55019,25.6,8679,"1536 of 3141"
"Iron County",55051,26.0,1457,"1583 of 3141"
"Forest County",55041,26.4,2322,"1644 of 3141"
"Vernon County",55123,27.1,8106,"1746 of 3141"
"Rusk County",55107,27.8,3880,"1862 of 3141"
"Ashland County",55003,27.9,4232,"1872 of 3141"
"Sawyer County",55113,30.2,4807,"2162 of 3141"
"Milwaukee County",55079,31.1,290678,"2270 of 3141"
"Menominee County",55078,46.3,2055,"3066 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
