------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Wisconsin",55000,1.9,109787,"9 of 51"
"United States",00000,2.3,7354769,"N/A"
"Menominee County",55078,0.3,13,"76 of 3140"
"Clark County",55019,0.4,146,"134 of 3140"
"Oconto County",55083,0.6,225,"254 of 3140"
"Calumet County",55015,0.6,317,"283 of 3140"
"Fond du Lac County",55039,0.6,656,"285 of 3140"
"Langlade County",55067,0.7,132,"336 of 3140"
"Pepin County",55091,0.9,64,"516 of 3140"
"Waupaca County",55135,0.9,464,"546 of 3140"
"Shawano County",55115,0.9,370,"548 of 3140"
"Washington County",55131,0.9,1241,"573 of 3140"
"Manitowoc County",55071,1.0,772,"619 of 3140"
"Vernon County",55123,1.0,294,"622 of 3140"
"Iowa County",55049,1.0,237,"664 of 3140"
"Wood County",55141,1.1,764,"701 of 3140"
"Trempealeau County",55121,1.1,308,"710 of 3140"
"Chippewa County",55017,1.1,662,"712 of 3140"
"Lafayette County",55065,1.1,178,"733 of 3140"
"Taylor County",55119,1.1,220,"756 of 3140"
"Barron County",55005,1.1,493,"768 of 3140"
"Jackson County",55053,1.2,235,"838 of 3140"
"Outagamie County",55087,1.2,2120,"854 of 3140"
"Rusk County",55107,1.2,165,"855 of 3140"
"Sheboygan County",55117,1.2,1336,"858 of 3140"
"Portage County",55097,1.2,820,"862 of 3140"
"Green Lake County",55047,1.2,219,"867 of 3140"
"Forest County",55041,1.2,108,"910 of 3140"
"Waushara County",55137,1.2,293,"922 of 3140"
"Marquette County",55077,1.3,188,"952 of 3140"
"Jefferson County",55055,1.3,1062,"971 of 3140"
"Marathon County",55073,1.3,1699,"974 of 3140"
"Kewaunee County",55061,1.3,260,"1004 of 3140"
"Lincoln County",55069,1.3,359,"1005 of 3140"
"Oneida County",55085,1.3,466,"1047 of 3140"
"Richland County",55103,1.3,234,"1060 of 3140"
"Dodge County",55027,1.4,1200,"1104 of 3140"
"Waukesha County",55133,1.5,5803,"1218 of 3140"
"Bayfield County",55007,1.5,221,"1230 of 3140"
"Sauk County",55111,1.5,931,"1235 of 3140"
"Columbia County",55021,1.5,849,"1265 of 3140"
"Ashland County",55003,1.5,241,"1313 of 3140"
"Racine County",55101,1.6,3023,"1335 of 3140"
"Sawyer County",55113,1.6,263,"1388 of 3140"
"Winnebago County",55139,1.6,2734,"1408 of 3140"
"Juneau County",55057,1.7,452,"1523 of 3140"
"Green County",55045,1.8,662,"1610 of 3140"
"Milwaukee County",55079,1.8,17373,"1635 of 3140"
"Brown County",55009,1.8,4694,"1638 of 3140"
"Ozaukee County",55089,1.9,1652,"1689 of 3140"
"Price County",55099,1.9,262,"1728 of 3140"
"Vilas County",55125,2.0,436,"1822 of 3140"
"Crawford County",55023,2.1,345,"1900 of 3140"
"Monroe County",55081,2.2,963,"1926 of 3140"
"Washburn County",55129,2.2,341,"1967 of 3140"
"Rock County",55105,2.2,3514,"1969 of 3140"
"Grant County",55043,2.3,1181,"2028 of 3140"
"Polk County",55095,2.3,1001,"2055 of 3140"
"Door County",55029,2.5,691,"2188 of 3140"
"Eau Claire County",55035,2.6,2666,"2242 of 3140"
"Adams County",55001,2.7,531,"2256 of 3140"
"Buffalo County",55011,2.7,350,"2267 of 3140"
"Marinette County",55075,2.7,1099,"2293 of 3140"
"Burnett County",55013,2.8,423,"2338 of 3140"
"La Crosse County",55063,2.8,3298,"2360 of 3140"
"Walworth County",55127,3.1,3114,"2475 of 3140"
"St. Croix County",55109,3.1,2685,"2504 of 3140"
"Dane County",55025,3.3,16940,"2587 of 3140"
"Iron County",55051,3.5,203,"2678 of 3140"
"Kenosha County",55059,3.6,5965,"2697 of 3140"
"Dunn County",55033,4.4,1917,"2875 of 3140"
"Florence County",55037,4.5,196,"2909 of 3140"
"Douglas County",55031,5.0,2167,"2971 of 3140"
"Pierce County",55093,5.6,2281,"3024 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
