------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Wisconsin",55000,0.4,20057,"7 of 51"
"United States",00000,0.7,2074097,"N/A"
"Menominee County",55078,0.0,0,"1 of 3140"
"Oneida County",55085,0.0,14,"524 of 3140"
"Green Lake County",55047,0.1,11,"628 of 3140"
"Burnett County",55013,0.1,9,"631 of 3140"
"Marquette County",55077,0.1,11,"738 of 3140"
"Forest County",55041,0.1,7,"776 of 3140"
"Jackson County",55053,0.1,16,"780 of 3140"
"Waushara County",55137,0.1,19,"788 of 3140"
"Vernon County",55123,0.1,26,"837 of 3140"
"Polk County",55095,0.1,39,"865 of 3140"
"Trempealeau County",55121,0.1,27,"879 of 3140"
"Iron County",55051,0.1,6,"950 of 3140"
"Oconto County",55083,0.1,41,"992 of 3140"
"Sawyer County",55113,0.1,18,"995 of 3140"
"Racine County",55101,0.1,219,"1019 of 3140"
"Bayfield County",55007,0.1,17,"1023 of 3140"
"Shawano County",55115,0.1,49,"1078 of 3140"
"Pepin County",55091,0.1,9,"1109 of 3140"
"Wood County",55141,0.1,97,"1168 of 3140"
"Winnebago County",55139,0.1,228,"1179 of 3140"
"Buffalo County",55011,0.1,19,"1236 of 3140"
"Lafayette County",55065,0.2,25,"1270 of 3140"
"Washburn County",55129,0.2,25,"1338 of 3140"
"Washington County",55131,0.2,219,"1365 of 3140"
"Grant County",55043,0.2,87,"1395 of 3140"
"Taylor County",55119,0.2,35,"1425 of 3140"
"Sauk County",55111,0.2,111,"1445 of 3140"
"Price County",55099,0.2,24,"1451 of 3140"
"Marinette County",55075,0.2,72,"1452 of 3140"
"Rock County",55105,0.2,290,"1470 of 3140"
"Juneau County",55057,0.2,48,"1482 of 3140"
"Lincoln County",55069,0.2,52,"1505 of 3140"
"Waupaca County",55135,0.2,100,"1551 of 3140"
"Manitowoc County",55071,0.2,158,"1573 of 3140"
"Iowa County",55049,0.2,47,"1584 of 3140"
"Chippewa County",55017,0.2,128,"1601 of 3140"
"Barron County",55005,0.2,94,"1620 of 3140"
"Door County",55029,0.2,58,"1639 of 3140"
"Green County",55045,0.2,81,"1685 of 3140"
"Adams County",55001,0.2,45,"1695 of 3140"
"Vilas County",55125,0.2,48,"1695 of 3140"
"Crawford County",55023,0.2,37,"1715 of 3140"
"Walworth County",55127,0.2,243,"1759 of 3140"
"St. Croix County",55109,0.2,207,"1774 of 3140"
"Outagamie County",55087,0.2,438,"1781 of 3140"
"Eau Claire County",55035,0.2,249,"1798 of 3140"
"Rusk County",55107,0.2,35,"1810 of 3140"
"Dodge County",55027,0.3,218,"1815 of 3140"
"Kenosha County",55059,0.3,434,"1861 of 3140"
"Clark County",55019,0.3,91,"1897 of 3140"
"Ashland County",55003,0.3,42,"1899 of 3140"
"Columbia County",55021,0.3,152,"1902 of 3140"
"Calumet County",55015,0.3,135,"1916 of 3140"
"Dunn County",55033,0.3,124,"1963 of 3140"
"La Crosse County",55063,0.3,336,"1986 of 3140"
"Jefferson County",55055,0.3,252,"2019 of 3140"
"Sheboygan County",55117,0.3,361,"2071 of 3140"
"Marathon County",55073,0.3,426,"2079 of 3140"
"Portage County",55097,0.3,229,"2110 of 3140"
"Brown County",55009,0.3,839,"2114 of 3140"
"Waukesha County",55133,0.3,1311,"2128 of 3140"
"Monroe County",55081,0.4,165,"2247 of 3140"
"Ozaukee County",55089,0.4,339,"2289 of 3140"
"Milwaukee County",55079,0.4,4053,"2369 of 3140"
"Douglas County",55031,0.5,218,"2514 of 3140"
"Kewaunee County",55061,0.5,109,"2582 of 3140"
"Langlade County",55067,0.6,108,"2625 of 3140"
"Florence County",55037,0.6,25,"2632 of 3140"
"Richland County",55103,0.6,108,"2688 of 3140"
"Fond du Lac County",55039,0.7,728,"2803 of 3140"
"Pierce County",55093,0.8,338,"2878 of 3140"
"Dane County",55025,1.0,5078,"2954 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
