------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Wisconsin",55000,8.5,485207,"25 of 51"
"Florence County",55037,0.6,28,"16 of 3140"
"Calumet County",55015,2.7,1346,"196 of 3140"
"Bayfield County",55007,3.3,499,"335 of 3140"
"Green Lake County",55047,3.7,681,"421 of 3140"
"Kewaunee County",55061,3.8,759,"452 of 3140"
"Lafayette County",55065,3.8,636,"478 of 3140"
"Waushara County",55137,4.0,957,"526 of 3140"
"Adams County",55001,4.1,814,"558 of 3140"
"Pepin County",55091,4.1,295,"563 of 3140"
"Manitowoc County",55071,4.3,3363,"604 of 3140"
"Oconto County",55083,4.3,1592,"617 of 3140"
"Ozaukee County",55089,4.3,3738,"619 of 3140"
"Oneida County",55085,4.3,1504,"622 of 3140"
"Vernon County",55123,4.3,1306,"640 of 3140"
"Burnett County",55013,4.4,667,"665 of 3140"
"Buffalo County",55011,4.4,580,"679 of 3140"
"Marquette County",55077,4.8,718,"817 of 3140"
"Crawford County",55023,4.9,787,"856 of 3140"
"Juneau County",55057,5.0,1299,"900 of 3140"
"Washington County",55131,5.0,6618,"910 of 3140"
"Waukesha County",55133,5.4,21393,"1136 of 3140"
"Shawano County",55115,5.5,2234,"1154 of 3140"
"Washburn County",55129,5.5,857,"1179 of 3140"
"Outagamie County",55087,5.6,10140,"1205 of 3140"
"Clark County",55019,5.7,1918,"1238 of 3140"
"Vilas County",55125,5.9,1259,"1376 of 3140"
"Iowa County",55049,5.9,1380,"1379 of 3140"
"Richland County",55103,6.1,1069,"1504 of 3140"
"Dodge County",55027,6.2,5359,"1509 of 3140"
"Green County",55045,6.2,2258,"1527 of 3140"
"Marinette County",55075,6.3,2547,"1589 of 3140"
"Waupaca County",55135,6.3,3245,"1608 of 3140"
"Columbia County",55021,6.4,3596,"1623 of 3140"
"Rusk County",55107,6.4,899,"1625 of 3140"
"Forest County",55041,6.4,572,"1634 of 3140"
"Trempealeau County",55121,6.4,1868,"1635 of 3140"
"Jackson County",55053,6.5,1313,"1660 of 3140"
"Taylor County",55119,6.5,1305,"1673 of 3140"
"Polk County",55095,6.5,2784,"1678 of 3140"
"Jefferson County",55055,6.5,5444,"1680 of 3140"
"Barron County",55005,6.5,2925,"1692 of 3140"
"Chippewa County",55017,6.5,4095,"1697 of 3140"
"St. Croix County",55109,6.6,5714,"1736 of 3140"
"Door County",55029,6.8,1842,"1791 of 3140"
"Ashland County",55003,6.9,1068,"1813 of 3140"
"Iron County",55051,6.9,395,"1833 of 3140"
"Price County",55099,7.0,946,"1874 of 3140"
"Fond du Lac County",55039,7.0,7110,"1881 of 3140"
"Monroe County",55081,7.2,3179,"1930 of 3140"
"Racine County",55101,7.2,13844,"1955 of 3140"
"Marathon County",55073,7.2,9610,"1956 of 3140"
"Lincoln County",55069,7.2,2012,"1978 of 3140"
"Pierce County",55093,7.3,2971,"1991 of 3140"
"Wood County",55141,7.6,5529,"2127 of 3140"
"Sauk County",55111,7.8,4877,"2194 of 3140"
"Sawyer County",55113,7.8,1277,"2214 of 3140"
"Langlade County",55067,8.1,1527,"2285 of 3140"
"Douglas County",55031,8.1,3488,"2309 of 3140"
"Kenosha County",55059,8.2,13692,"2346 of 3140"
"Walworth County",55127,8.6,8802,"2452 of 3140"
"Winnebago County",55139,8.7,14552,"2466 of 3140"
"Grant County",55043,8.8,4521,"2505 of 3140"
"Sheboygan County",55117,9.0,10207,"2548 of 3140"
"Portage County",55097,9.0,6308,"2573 of 3140"
"Dunn County",55033,9.2,4028,"2615 of 3140"
"Menominee County",55078,9.7,433,"2731 of 3140"
"Brown County",55009,10.0,25546,"2787 of 3140"
"Rock County",55105,10.1,16173,"2810 of 3140"
"La Crosse County",55063,10.9,12687,"2925 of 3140"
"Eau Claire County",55035,11.7,11831,"3017 of 3140"
"Milwaukee County",55079,12.6,118898,"3071 of 3140"
"Dane County",55025,12.7,65493,"3074 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
