------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Wisconsin",55000,6.6,380590,"34 of 52"
"United States",00000,17.6,56510571,"N/A"
"Florence County",55037,0.9,38,"2971 of 3141"
"Iron County",55051,1.2,68,"2868 of 3141"
"Crawford County",55023,1.3,213,"2799 of 3141"
"Oneida County",55085,1.4,504,"2738 of 3141"
"Lincoln County",55069,1.4,404,"2721 of 3141"
"Douglas County",55031,1.5,657,"2671 of 3141"
"Grant County",55043,1.5,791,"2660 of 3141"
"Marinette County",55075,1.5,631,"2647 of 3141"
"Vernon County",55123,1.6,476,"2626 of 3141"
"Price County",55099,1.6,221,"2590 of 3141"
"Chippewa County",55017,1.7,1055,"2577 of 3141"
"Burnett County",55013,1.7,255,"2569 of 3141"
"Oconto County",55083,1.7,639,"2557 of 3141"
"Washburn County",55129,1.7,267,"2556 of 3141"
"Iowa County",55049,1.7,403,"2553 of 3141"
"Pepin County",55091,1.7,125,"2545 of 3141"
"Bayfield County",55007,1.7,261,"2529 of 3141"
"Rusk County",55107,1.8,252,"2514 of 3141"
"La Crosse County",55063,1.8,2101,"2503 of 3141"
"Taylor County",55119,1.8,368,"2489 of 3141"
"Dunn County",55033,1.8,801,"2486 of 3141"
"Langlade County",55067,1.9,357,"2456 of 3141"
"Polk County",55095,1.9,810,"2453 of 3141"
"Pierce County",55093,1.9,794,"2420 of 3141"
"Forest County",55041,2.2,196,"2283 of 3141"
"Buffalo County",55011,2.2,289,"2279 of 3141"
"Richland County",55103,2.2,385,"2278 of 3141"
"Vilas County",55125,2.2,474,"2260 of 3141"
"St. Croix County",55109,2.3,1972,"2237 of 3141"
"Eau Claire County",55035,2.3,2389,"2198 of 3141"
"Barron County",55005,2.4,1092,"2160 of 3141"
"Sawyer County",55113,2.5,405,"2133 of 3141"
"Shawano County",55115,2.6,1079,"2058 of 3141"
"Ashland County",55003,2.6,417,"2053 of 3141"
"Marathon County",55073,2.7,3624,"2037 of 3141"
"Kewaunee County",55061,2.7,560,"1994 of 3141"
"Ozaukee County",55089,2.8,2429,"1984 of 3141"
"Wood County",55141,2.8,2054,"1971 of 3141"
"Door County",55029,2.9,785,"1934 of 3141"
"Juneau County",55057,3.0,782,"1897 of 3141"
"Waupaca County",55135,3.0,1548,"1886 of 3141"
"Green County",55045,3.0,1112,"1877 of 3141"
"Portage County",55097,3.0,2142,"1861 of 3141"
"Washington County",55131,3.1,4127,"1844 of 3141"
"Columbia County",55021,3.1,1771,"1831 of 3141"
"Marquette County",55077,3.2,478,"1823 of 3141"
"Jackson County",55053,3.2,662,"1785 of 3141"
"Lafayette County",55065,3.6,605,"1668 of 3141"
"Manitowoc County",55071,3.7,2945,"1640 of 3141"
"Adams County",55001,3.8,772,"1602 of 3141"
"Winnebago County",55139,3.9,6654,"1580 of 3141"
"Calumet County",55015,4.1,2022,"1550 of 3141"
"Monroe County",55081,4.2,1881,"1519 of 3141"
"Outagamie County",55087,4.2,7663,"1508 of 3141"
"Clark County",55019,4.4,1514,"1456 of 3141"
"Waukesha County",55133,4.6,18194,"1406 of 3141"
"Dodge County",55027,4.6,4049,"1400 of 3141"
"Green Lake County",55047,4.6,866,"1398 of 3141"
"Sauk County",55111,4.8,3060,"1353 of 3141"
"Fond du Lac County",55039,5.0,5072,"1326 of 3141"
"Menominee County",55078,6.0,270,"1132 of 3141"
"Sheboygan County",55117,6.2,7085,"1102 of 3141"
"Dane County",55025,6.3,32985,"1082 of 3141"
"Waushara County",55137,6.4,1548,"1073 of 3141"
"Jefferson County",55055,7.0,5891,"996 of 3141"
"Trempealeau County",55121,7.6,2247,"922 of 3141"
"Brown County",55009,8.3,21472,"868 of 3141"
"Rock County",55105,8.4,13573,"859 of 3141"
"Walworth County",55127,11.1,11373,"674 of 3141"
"Racine County",55101,12.7,24763,"586 of 3141"
"Kenosha County",55059,12.7,21354,"584 of 3141"
"Milwaukee County",55079,14.6,139469,"527 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
