------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Wisconsin",55000,8.1,120191,"18 of 52"
"United States",00000,10.5,8253388,"N/A"
"St. Croix County",55109,2.6,645,"37 of 3141"
"Waukesha County",55133,3.3,3680,"66 of 3141"
"Washington County",55131,3.6,1361,"85 of 3141"
"Ozaukee County",55089,3.7,934,"101 of 3141"
"Calumet County",55015,4.7,669,"203 of 3141"
"Door County",55029,4.7,414,"205 of 3141"
"Florence County",55037,5.3,70,"296 of 3141"
"Sheboygan County",55117,5.5,1699,"315 of 3141"
"Oneida County",55085,5.7,556,"357 of 3141"
"Green County",55045,5.8,584,"373 of 3141"
"Portage County",55097,5.8,998,"376 of 3141"
"Columbia County",55021,5.9,926,"383 of 3141"
"Dane County",55025,5.9,7298,"384 of 3141"
"Lincoln County",55069,6.0,497,"414 of 3141"
"Fond du Lac County",55039,6.0,1648,"420 of 3141"
"Kewaunee County",55061,6.0,341,"424 of 3141"
"Dodge County",55027,6.0,1352,"428 of 3141"
"Trempealeau County",55121,6.1,469,"433 of 3141"
"Iowa County",55049,6.2,409,"453 of 3141"
"Pierce County",55093,6.2,632,"454 of 3141"
"Taylor County",55119,6.2,362,"470 of 3141"
"Outagamie County",55087,6.3,3037,"479 of 3141"
"Waushara County",55137,6.3,415,"484 of 3141"
"La Crosse County",55063,6.5,1820,"514 of 3141"
"Jefferson County",55055,6.5,1446,"517 of 3141"
"Oconto County",55083,6.6,713,"530 of 3141"
"Winnebago County",55139,6.6,2771,"531 of 3141"
"Dunn County",55033,6.6,690,"537 of 3141"
"Eau Claire County",55035,6.8,1626,"588 of 3141"
"Marathon County",55073,6.9,2539,"618 of 3141"
"Manitowoc County",55071,7.0,1508,"629 of 3141"
"Chippewa County",55017,7.1,1200,"647 of 3141"
"Polk County",55095,7.1,866,"649 of 3141"
"Walworth County",55127,7.2,1921,"682 of 3141"
"Price County",55099,7.3,303,"717 of 3141"
"Barron County",55005,7.4,920,"721 of 3141"
"Marquette County",55077,7.4,299,"740 of 3141"
"Green Lake County",55047,7.4,383,"747 of 3141"
"Wood County",55141,7.6,1529,"775 of 3141"
"Bayfield County",55007,7.7,340,"827 of 3141"
"Waupaca County",55135,8.0,1118,"872 of 3141"
"Adams County",55001,8.0,424,"893 of 3141"
"Buffalo County",55011,8.1,316,"910 of 3141"
"Grant County",55043,8.1,972,"916 of 3141"
"Lafayette County",55065,8.2,379,"936 of 3141"
"Monroe County",55081,8.3,967,"957 of 3141"
"Shawano County",55115,8.3,932,"965 of 3141"
"Sauk County",55111,8.4,1428,"999 of 3141"
"Brown County",55009,8.4,5631,"1007 of 3141"
"Pepin County",55091,8.5,172,"1022 of 3141"
"Racine County",55101,8.7,4473,"1074 of 3141"
"Crawford County",55023,8.8,363,"1113 of 3141"
"Washburn County",55129,8.9,410,"1129 of 3141"
"Vilas County",55125,9.0,603,"1141 of 3141"
"Juneau County",55057,9.2,585,"1186 of 3141"
"Marinette County",55075,9.3,1063,"1212 of 3141"
"Clark County",55019,9.4,829,"1255 of 3141"
"Douglas County",55031,9.8,1108,"1343 of 3141"
"Ashland County",55003,9.8,382,"1360 of 3141"
"Richland County",55103,10.0,496,"1428 of 3141"
"Jackson County",55053,10.1,538,"1441 of 3141"
"Burnett County",55013,10.1,478,"1443 of 3141"
"Kenosha County",55059,10.2,4203,"1456 of 3141"
"Vernon County",55123,10.6,873,"1551 of 3141"
"Langlade County",55067,10.9,582,"1647 of 3141"
"Rusk County",55107,11.0,451,"1654 of 3141"
"Rock County",55105,11.1,4685,"1691 of 3141"
"Iron County",55051,11.1,195,"1693 of 3141"
"Sawyer County",55113,13.1,645,"2114 of 3141"
"Forest County",55041,13.3,348,"2156 of 3141"
"Milwaukee County",55079,15.9,34380,"2561 of 3141"
"Menominee County",55078,29.9,292,"3100 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
