------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Wisconsin",55000,2.8,110095,"7 of 52"
"United States",00000,5.4,11759554,"N/A"
"Vilas County",55125,1.0,172,"45 of 3141"
"Bayfield County",55007,1.1,127,"59 of 3141"
"St. Croix County",55109,1.1,648,"61 of 3141"
"Ozaukee County",55089,1.2,707,"64 of 3141"
"Waukesha County",55133,1.3,3568,"87 of 3141"
"Door County",55029,1.4,293,"104 of 3141"
"Douglas County",55031,1.4,438,"111 of 3141"
"Iron County",55051,1.4,67,"116 of 3141"
"Burnett County",55013,1.5,173,"130 of 3141"
"Sawyer County",55113,1.5,187,"159 of 3141"
"Dane County",55025,1.7,5651,"188 of 3141"
"Polk County",55095,1.7,525,"208 of 3141"
"Ashland County",55003,1.7,182,"209 of 3141"
"Washington County",55131,1.8,1656,"227 of 3141"
"Washburn County",55129,1.8,210,"241 of 3141"
"Iowa County",55049,1.8,299,"245 of 3141"
"La Crosse County",55063,1.9,1384,"264 of 3141"
"Pierce County",55093,1.9,482,"265 of 3141"
"Winnebago County",55139,2.0,2231,"304 of 3141"
"Columbia County",55021,2.0,787,"308 of 3141"
"Menominee County",55078,2.0,51,"320 of 3141"
"Oneida County",55085,2.1,557,"357 of 3141"
"Outagamie County",55087,2.1,2612,"387 of 3141"
"Florence County",55037,2.1,73,"397 of 3141"
"Chippewa County",55017,2.2,968,"421 of 3141"
"Portage County",55097,2.3,1008,"456 of 3141"
"Waupaca County",55135,2.3,861,"488 of 3141"
"Marinette County",55075,2.5,734,"544 of 3141"
"Green County",55045,2.5,645,"570 of 3141"
"Shawano County",55115,2.5,736,"581 of 3141"
"Sheboygan County",55117,2.5,2004,"585 of 3141"
"Wood County",55141,2.6,1329,"603 of 3141"
"Calumet County",55015,2.6,856,"604 of 3141"
"Dunn County",55033,2.6,712,"659 of 3141"
"Sauk County",55111,2.7,1171,"664 of 3141"
"Kewaunee County",55061,2.7,392,"709 of 3141"
"Lincoln County",55069,2.8,579,"774 of 3141"
"Eau Claire County",55035,2.8,1811,"780 of 3141"
"Dodge County",55027,2.9,1804,"811 of 3141"
"Fond du Lac County",55039,2.9,2043,"822 of 3141"
"Price County",55099,2.9,304,"838 of 3141"
"Kenosha County",55059,2.9,3253,"840 of 3141"
"Adams County",55001,2.9,471,"853 of 3141"
"Buffalo County",55011,2.9,281,"855 of 3141"
"Rock County",55105,3.0,3241,"879 of 3141"
"Manitowoc County",55071,3.0,1696,"881 of 3141"
"Langlade County",55067,3.0,423,"894 of 3141"
"Crawford County",55023,3.0,350,"903 of 3141"
"Marquette County",55077,3.0,341,"910 of 3141"
"Oconto County",55083,3.1,844,"941 of 3141"
"Jefferson County",55055,3.1,1791,"959 of 3141"
"Brown County",55009,3.2,5533,"1021 of 3141"
"Barron County",55005,3.3,1049,"1037 of 3141"
"Walworth County",55127,3.3,2202,"1045 of 3141"
"Racine County",55101,3.3,4372,"1063 of 3141"
"Marathon County",55073,3.5,3298,"1206 of 3141"
"Juneau County",55057,3.6,686,"1211 of 3141"
"Forest County",55041,3.6,233,"1244 of 3141"
"Richland County",55103,3.6,446,"1245 of 3141"
"Monroe County",55081,3.7,1142,"1308 of 3141"
"Grant County",55043,3.8,1198,"1331 of 3141"
"Green Lake County",55047,3.9,512,"1373 of 3141"
"Pepin County",55091,3.9,204,"1398 of 3141"
"Trempealeau County",55121,4.1,815,"1462 of 3141"
"Lafayette County",55065,4.1,464,"1477 of 3141"
"Jackson County",55053,4.3,627,"1589 of 3141"
"Milwaukee County",55079,4.4,27907,"1642 of 3141"
"Waushara County",55137,4.5,823,"1682 of 3141"
"Taylor County",55119,4.8,668,"1782 of 3141"
"Rusk County",55107,4.8,489,"1788 of 3141"
"Vernon County",55123,6.2,1256,"2250 of 3141"
"Clark County",55019,11.2,2443,"2945 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
