------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Wisconsin",55000,72542.000000000,"23 of 52"
"Menominee County",55078,38648.000000000,"3057 of 3141"
"Rusk County",55107,50611.000000000,"2448 of 3141"
"Sawyer County",55113,52158.000000000,"2295 of 3141"
"Adams County",55001,52373.000000000,"2274 of 3141"
"Forest County",55041,52691.000000000,"2235 of 3141"
"Iron County",55051,53906.000000000,"2147 of 3141"
"Vilas County",55125,54176.000000000,"2124 of 3141"
"Ashland County",55003,55528.000000000,"2006 of 3141"
"Marinette County",55075,55703.000000000,"1989 of 3141"
"Burnett County",55013,56267.000000000,"1938 of 3141"
"Langlade County",55067,56765.000000000,"1891 of 3141"
"Price County",55099,57007.000000000,"1865 of 3141"
"Florence County",55037,57422.000000000,"1821 of 3141"
"Clark County",55019,59188.000000000,"1645 of 3141"
"Richland County",55103,59539.000000000,"1604 of 3141"
"Juneau County",55057,59675.000000000,"1588 of 3141"
"Milwaukee County",55079,59763.000000000,"1581 of 3141"
"Vernon County",55123,59915.000000000,"1561 of 3141"
"Waushara County",55137,59968.000000000,"1553 of 3141"
"Washburn County",55129,60120.000000000,"1538 of 3141"
"Taylor County",55119,60198.000000000,"1527 of 3141"
"Crawford County",55023,60561.000000000,"1484 of 3141"
"Marquette County",55077,60575.000000000,"1478 of 3141"
"Bayfield County",55007,60747.000000000,"1465 of 3141"
"Barron County",55005,61188.000000000,"1420 of 3141"
"Jackson County",55053,62207.000000000,"1324 of 3141"
"Shawano County",55115,62567.000000000,"1287 of 3141"
"Douglas County",55031,63948.000000000,"1162 of 3141"
"Rock County",55105,64322.000000000,"1132 of 3141"
"Buffalo County",55011,64473.000000000,"1115 of 3141"
"Grant County",55043,64494.000000000,"1113 of 3141"
"Pepin County",55091,64534.000000000,"1109 of 3141"
"Polk County",55095,65160.000000000,"1057 of 3141"
"Lafayette County",55065,65333.000000000,"1042 of 3141"
"Green Lake County",55047,65854.000000000,"1000 of 3141"
"Oneida County",55085,66336.000000000,"968 of 3141"
"Manitowoc County",55071,66531.000000000,"955 of 3141"
"Oconto County",55083,66583.000000000,"952 of 3141"
"Wood County",55141,67122.000000000,"913 of 3141"
"Dunn County",55033,67352.000000000,"899 of 3141"
"Lincoln County",55069,67526.000000000,"879 of 3141"
"Waupaca County",55135,67613.000000000,"873 of 3141"
"Trempealeau County",55121,67696.000000000,"865 of 3141"
"Monroe County",55081,67889.000000000,"853 of 3141"
"Sauk County",55111,68309.000000000,"825 of 3141"
"Chippewa County",55017,69320.000000000,"764 of 3141"
"Sheboygan County",55117,70127.000000000,"713 of 3141"
"Door County",55029,70137.000000000,"712 of 3141"
"Dodge County",55027,70545.000000000,"694 of 3141"
"Fond du Lac County",55039,71680.000000000,"640 of 3141"
"Winnebago County",55139,71833.000000000,"630 of 3141"
"Eau Claire County",55035,71925.000000000,"619 of 3141"
"Kenosha County",55059,71929.000000000,"618 of 3141"
"Racine County",55101,71961.000000000,"617 of 3141"
"Marathon County",55073,72271.000000000,"597 of 3141"
"Jefferson County",55055,72388.000000000,"591 of 3141"
"Portage County",55097,72828.000000000,"564 of 3141"
"Walworth County",55127,73224.000000000,"532 of 3141"
"La Crosse County",55063,73433.000000000,"526 of 3141"
"Brown County",55009,73584.000000000,"518 of 3141"
"Kewaunee County",55061,73585.000000000,"517 of 3141"
"Iowa County",55049,73922.000000000,"497 of 3141"
"Green County",55045,74435.000000000,"476 of 3141"
"Outagamie County",55087,76484.000000000,"409 of 3141"
"Columbia County",55021,77012.000000000,"390 of 3141"
"Calumet County",55015,82822.000000000,"256 of 3141"
"Pierce County",55093,83893.000000000,"238 of 3141"
"Washington County",55131,87686.000000000,"190 of 3141"
"Dane County",55025,91169.000000000,"148 of 3141"
"St. Croix County",55109,91482.000000000,"145 of 3141"
"Ozaukee County",55089,96922.000000000,"97 of 3141"
"Waukesha County",55133,100275.000000000,"80 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
