------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Wisconsin",55000,1.6,36723,"16 of 51"
"United States",00000,4.5,5305440,"N/A"
"Lincoln County",55069,0.0,2,"296 of 3140"
"Bayfield County",55007,0.0,2,"307 of 3140"
"Iron County",55051,0.1,3,"407 of 3140"
"Ashland County",55003,0.1,8,"441 of 3140"
"Douglas County",55031,0.1,27,"482 of 3140"
"Shawano County",55115,0.2,26,"497 of 3140"
"Marinette County",55075,0.2,30,"523 of 3140"
"Polk County",55095,0.2,32,"550 of 3140"
"Oneida County",55085,0.2,27,"555 of 3140"
"Washburn County",55129,0.2,13,"560 of 3140"
"Price County",55099,0.2,13,"586 of 3140"
"St. Croix County",55109,0.2,72,"616 of 3140"
"Chippewa County",55017,0.2,62,"678 of 3140"
"Forest County",55041,0.3,11,"730 of 3140"
"Vilas County",55125,0.3,32,"781 of 3140"
"Burnett County",55013,0.3,24,"837 of 3140"
"Wood County",55141,0.3,112,"871 of 3140"
"Crawford County",55023,0.3,23,"873 of 3140"
"Florence County",55037,0.4,7,"889 of 3140"
"Portage County",55097,0.4,105,"921 of 3140"
"Iowa County",55049,0.4,38,"945 of 3140"
"Washington County",55131,0.4,224,"1008 of 3140"
"Door County",55029,0.4,56,"1021 of 3140"
"Pepin County",55091,0.4,13,"1034 of 3140"
"Pierce County",55093,0.4,68,"1054 of 3140"
"Sawyer County",55113,0.5,38,"1133 of 3140"
"Langlade County",55067,0.5,47,"1192 of 3140"
"Columbia County",55021,0.6,141,"1291 of 3140"
"Waushara County",55137,0.6,63,"1339 of 3140"
"Grant County",55043,0.7,132,"1383 of 3140"
"Rusk County",55107,0.7,43,"1391 of 3140"
"Oconto County",55083,0.7,109,"1411 of 3140"
"Juneau County",55057,0.7,72,"1422 of 3140"
"Richland County",55103,0.7,54,"1426 of 3140"
"Jefferson County",55055,0.7,235,"1429 of 3140"
"Green Lake County",55047,0.7,58,"1448 of 3140"
"Barron County",55005,0.8,146,"1492 of 3140"
"Calumet County",55015,0.8,149,"1498 of 3140"
"Sauk County",55111,0.8,202,"1518 of 3140"
"Waukesha County",55133,0.8,1256,"1531 of 3140"
"Dodge County",55027,0.8,279,"1557 of 3140"
"Vernon County",55123,0.8,101,"1574 of 3140"
"Green County",55045,0.8,126,"1581 of 3140"
"Ozaukee County",55089,0.8,297,"1586 of 3140"
"Dunn County",55033,0.9,144,"1598 of 3140"
"Buffalo County",55011,0.9,50,"1606 of 3140"
"Menominee County",55078,0.9,12,"1613 of 3140"
"Waupaca County",55135,0.9,195,"1623 of 3140"
"Marathon County",55073,1.0,530,"1691 of 3140"
"Monroe County",55081,1.0,178,"1717 of 3140"
"Kewaunee County",55061,1.0,83,"1725 of 3140"
"Marquette County",55077,1.0,67,"1768 of 3140"
"Taylor County",55119,1.1,93,"1775 of 3140"
"Jackson County",55053,1.1,87,"1782 of 3140"
"Winnebago County",55139,1.1,759,"1795 of 3140"
"Outagamie County",55087,1.1,787,"1798 of 3140"
"Adams County",55001,1.1,89,"1799 of 3140"
"Eau Claire County",55035,1.3,527,"1956 of 3140"
"Manitowoc County",55071,1.3,449,"1967 of 3140"
"Rock County",55105,1.3,867,"1985 of 3140"
"Lafayette County",55065,1.4,92,"2003 of 3140"
"Sheboygan County",55117,1.4,657,"2010 of 3140"
"Fond du Lac County",55039,1.5,601,"2053 of 3140"
"La Crosse County",55063,1.5,688,"2059 of 3140"
"Racine County",55101,1.6,1175,"2126 of 3140"
"Walworth County",55127,2.1,830,"2351 of 3140"
"Brown County",55009,2.3,2390,"2448 of 3140"
"Trempealeau County",55121,2.4,283,"2467 of 3140"
"Dane County",55025,2.5,5332,"2499 of 3140"
"Clark County",55019,2.7,339,"2552 of 3140"
"Kenosha County",55059,2.7,1723,"2569 of 3140"
"Milwaukee County",55079,3.4,13118,"2709 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
