------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Mississippi",28000,21.3,417318,"51 of 52"
"United States",00000,30.9,66887603,"N/A"
"Issaquena County",28055,6.1,63,"3138 of 3141"
"Greene County",28041,8.7,863,"3098 of 3141"
"Tallahatchie County",28135,10.1,1049,"3025 of 3141"
"Benton County",28009,10.3,583,"3014 of 3141"
"Walthall County",28147,10.3,1000,"3010 of 3141"
"Perry County",28111,10.6,869,"2993 of 3141"
"Holmes County",28051,10.7,1195,"2982 of 3141"
"Smith County",28129,11.0,1192,"2950 of 3141"
"Calhoun County",28013,11.2,1113,"2929 of 3141"
"Tishomingo County",28141,11.5,1568,"2890 of 3141"
"Chickasaw County",28017,11.8,1333,"2858 of 3141"
"Quitman County",28119,11.8,589,"2856 of 3141"
"George County",28039,11.9,1813,"2846 of 3141"
"Leake County",28079,12.1,1775,"2807 of 3141"
"Prentiss County",28117,12.3,2084,"2787 of 3141"
"Attala County",28007,12.3,1534,"2783 of 3141"
"Wayne County",28153,12.6,1719,"2729 of 3141"
"Scott County",28123,12.7,2335,"2721 of 3141"
"Jefferson County",28063,12.7,630,"2710 of 3141"
"Noxubee County",28103,12.9,922,"2687 of 3141"
"Marion County",28091,12.9,2223,"2677 of 3141"
"Itawamba County",28057,13.0,2028,"2674 of 3141"
"Kemper County",28069,13.1,906,"2643 of 3141"
"Marshall County",28093,13.1,3217,"2636 of 3141"
"Amite County",28005,13.2,1231,"2623 of 3141"
"Simpson County",28127,13.3,2409,"2618 of 3141"
"Clarke County",28023,13.3,1474,"2615 of 3141"
"Copiah County",28029,13.3,2512,"2611 of 3141"
"Humphreys County",28053,13.6,753,"2566 of 3141"
"Lawrence County",28077,13.8,1165,"2524 of 3141"
"Jasper County",28061,13.9,1568,"2505 of 3141"
"Yalobusha County",28161,14.0,1194,"2495 of 3141"
