------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Mississippi",28000,24.3,726301,"10 of 52"
"Issaquena County",28055,14.0,181,"3119 of 3141"
"Tallahatchie County",28135,16.8,2450,"3001 of 3141"
"Oktibbeha County",28105,17.5,8644,"2951 of 3141"
"Lafayette County",28071,18.2,9581,"2869 of 3141"
"Carroll County",28015,19.7,2017,"2556 of 3141"
"Greene County",28041,20.2,2781,"2445 of 3141"
"Kemper County",28069,20.4,2056,"2369 of 3141"
"Jefferson Davis County",28065,20.7,2410,"2273 of 3141"
"Amite County",28005,21.0,2643,"2152 of 3141"
"Claiborne County",28021,21.7,1980,"1892 of 3141"
"Wilkinson County",28157,21.8,1976,"1887 of 3141"
"Marshall County",28093,21.9,7884,"1814 of 3141"
"Hancock County",28045,22.0,10173,"1781 of 3141"
"Itawamba County",28057,22.1,5176,"1736 of 3141"
"Tishomingo County",28141,22.1,4310,"1710 of 3141"
"Benton County",28009,22.2,1842,"1689 of 3141"
"Choctaw County",28019,22.4,1873,"1574 of 3141"
"Stone County",28131,22.7,4076,"1469 of 3141"
"Clarke County",28023,22.9,3681,"1377 of 3141"
"Winston County",28159,22.9,4230,"1370 of 3141"
"Prentiss County",28117,22.9,5826,"1343 of 3141"
"Pearl River County",28109,23.0,12637,"1336 of 3141"
"Monroe County",28095,23.0,8274,"1320 of 3141"
"Montgomery County",28097,23.0,2372,"1313 of 3141"
"Jasper County",28061,23.0,3809,"1305 of 3141"
"Adams County",28001,23.1,7307,"1256 of 3141"
"Yalobusha County",28161,23.2,2877,"1250 of 3141"
