------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Mississippi",28000,52689.000000000,"51 of 52"
"United States",00000,70850.000000000,"N/A"
"Jefferson County",28063,22140.000000000,"3141 of 3141"
"Holmes County",28051,24698.000000000,"3139 of 3141"
"Issaquena County",28055,27292.000000000,"3136 of 3141"
"Claiborne County",28021,27829.000000000,"3135 of 3141"
"Leflore County",28083,30352.000000000,"3129 of 3141"
"Humphreys County",28053,31397.000000000,"3125 of 3141"
"Wilkinson County",28157,31645.000000000,"3124 of 3141"
"Jefferson Davis County",28065,32105.000000000,"3117 of 3141"
"Coahoma County",28027,33224.000000000,"3110 of 3141"
"Quitman County",28119,34919.000000000,"3100 of 3141"
"Adams County",28001,35019.000000000,"3098 of 3141"
"Sunflower County",28133,35368.000000000,"3094 of 3141"
"Bolivar County",28011,36209.000000000,"3084 of 3141"
"Tunica County",28143,37016.000000000,"3080 of 3141"
"Yazoo County",28163,37527.000000000,"3074 of 3141"
"Kemper County",28069,37545.000000000,"3072 of 3141"
"Washington County",28151,38318.000000000,"3060 of 3141"
"Marion County",28091,39503.000000000,"3046 of 3141"
"Tallahatchie County",28135,39726.000000000,"3043 of 3141"
"Walthall County",28147,40485.000000000,"3023 of 3141"
"Sharkey County",28125,40758.000000000,"3011 of 3141"
"Pike County",28113,40768.000000000,"3010 of 3141"
"Scott County",28123,40814.000000000,"3008 of 3141"
"Panola County",28107,41930.000000000,"2962 of 3141"
"Montgomery County",28097,42120.000000000,"2951 of 3141"
"Clay County",28025,42209.000000000,"2949 of 3141"
"Simpson County",28127,42271.000000000,"2948 of 3141"
"Grenada County",28043,43037.000000000,"2921 of 3141"
"Calhoun County",28013,43207.000000000,"2914 of 3141"
"Amite County",28005,43383.000000000,"2908 of 3141"
"Winston County",28159,43418.000000000,"2906 of 3141"
"Perry County",28111,43586.000000000,"2898 of 3141"
"Jasper County",28061,43792.000000000,"2893 of 3141"
"Noxubee County",28103,43839.000000000,"2889 of 3141"
"Covington County",28031,43899.000000000,"2886 of 3141"
"Prentiss County",28117,44272.000000000,"2868 of 3141"
"Chickasaw County",28017,44297.000000000,"2866 of 3141"
"Tishomingo County",28141,44634.000000000,"2853 of 3141"
"Attala County",28007,44649.000000000,"2851 of 3141"
"Yalobusha County",28161,45352.000000000,"2815 of 3141"
"Copiah County",28029,45366.000000000,"2813 of 3141"
"Benton County",28009,45769.000000000,"2794 of 3141"
"Alcorn County",28003,46298.000000000,"2751 of 3141"
"Leake County",28079,46550.000000000,"2736 of 3141"
"Newton County",28101,46570.000000000,"2733 of 3141"
"Lincoln County",28085,47436.000000000,"2673 of 3141"
"Jones County",28067,47534.000000000,"2668 of 3141"
"Neshoba County",28099,47888.000000000,"2653 of 3141"
"Union County",28145,48234.000000000,"2635 of 3141"
"Tippah County",28139,48351.000000000,"2629 of 3141"
"Choctaw County",28019,49547.000000000,"2548 of 3141"
"Webster County",28155,49555.000000000,"2545 of 3141"
"Itawamba County",28057,49708.000000000,"2532 of 3141"
"Forrest County",28035,50312.000000000,"2481 of 3141"
"Lauderdale County",28075,50440.000000000,"2467 of 3141"
"Marshall County",28093,50643.000000000,"2445 of 3141"
"Wayne County",28153,50696.000000000,"2440 of 3141"
"Pontotoc County",28115,50713.000000000,"2435 of 3141"
"Clarke County",28023,50922.000000000,"2416 of 3141"
"Smith County",28129,51312.000000000,"2384 of 3141"
"Monroe County",28095,51428.000000000,"2373 of 3141"
"Warren County",28149,51737.000000000,"2345 of 3141"
"Hinds County",28049,52780.000000000,"2226 of 3141"
"Harrison County",28047,53053.000000000,"2206 of 3141"
"Lawrence County",28077,53125.000000000,"2200 of 3141"
"Franklin County",28037,53659.000000000,"2162 of 3141"
"Lowndes County",28087,54866.000000000,"2067 of 3141"
"Stone County",28131,55521.000000000,"2007 of 3141"
"Hancock County",28045,55895.000000000,"1970 of 3141"
"Pearl River County",28109,56793.000000000,"1889 of 3141"
"George County",28039,57142.000000000,"1853 of 3141"
"Carroll County",28015,57361.000000000,"1826 of 3141"
"Oktibbeha County",28105,58167.000000000,"1743 of 3141"
"Lee County",28081,58284.000000000,"1730 of 3141"
"Tate County",28137,58432.000000000,"1717 of 3141"
"Greene County",28041,60347.000000000,"1505 of 3141"
"Jackson County",28059,61230.000000000,"1414 of 3141"
"Lafayette County",28071,68141.000000000,"838 of 3141"
"Lamar County",28073,72002.000000000,"612 of 3141"
"Rankin County",28121,72413.000000000,"588 of 3141"
"DeSoto County",28033,73532.000000000,"521 of 3141"
"Madison County",28089,84512.000000000,"228 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
