------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Mississippi",28000,7.4,219482,"11 of 51"
"United States",00000,8.4,26717038,"N/A"
"Jefferson County",28063,0.3,20,"8 of 3140"
"Claiborne County",28021,0.8,71,"19 of 3140"
"Wilkinson County",28157,0.9,81,"23 of 3140"
"Amite County",28005,1.3,160,"42 of 3140"
"Holmes County",28051,1.9,350,"95 of 3140"
"Wayne County",28153,2.0,400,"98 of 3140"
"Issaquena County",28055,2.1,27,"110 of 3140"
"Stone County",28131,2.1,376,"111 of 3140"
"Carroll County",28015,2.3,230,"125 of 3140"
"Covington County",28031,2.3,440,"138 of 3140"
"Franklin County",28037,2.4,186,"153 of 3140"
"Adams County",28001,2.7,842,"190 of 3140"
"Smith County",28129,2.8,450,"215 of 3140"
"Tallahatchie County",28135,2.8,409,"217 of 3140"
"Jasper County",28061,3.3,544,"324 of 3140"
"Clarke County",28023,3.4,540,"350 of 3140"
"Greene County",28041,3.5,476,"362 of 3140"
"Lawrence County",28077,3.5,444,"386 of 3140"
"Newton County",28101,3.7,778,"414 of 3140"
"Marshall County",28093,3.7,1331,"444 of 3140"
"Copiah County",28029,3.8,1091,"474 of 3140"
"Kemper County",28069,3.8,382,"475 of 3140"
"Walthall County",28147,3.9,558,"492 of 3140"
"Tate County",28137,4.3,1204,"621 of 3140"
"Madison County",28089,4.5,4518,"687 of 3140"
"George County",28039,4.6,1068,"738 of 3140"
"Itawamba County",28057,4.8,1115,"834 of 3140"
"Humphreys County",28053,4.9,418,"867 of 3140"
"Jones County",28067,5.0,3358,"914 of 3140"
"Lincoln County",28085,5.0,1715,"926 of 3140"
"Jefferson Davis County",28065,5.2,597,"1006 of 3140"
