------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"Mississippi",28000,37.6,1122576,"2 of 52"
"Tishomingo County",28141,2.5,488,"1512 of 3141"
"Itawamba County",28057,7.7,1801,"915 of 3141"
"George County",28039,7.7,1818,"914 of 3141"
"Hancock County",28045,8.7,4010,"863 of 3141"
"Alcorn County",28003,11.7,4374,"714 of 3141"
"Pearl River County",28109,12.9,7094,"683 of 3141"
"Prentiss County",28117,13.4,3401,"661 of 3141"
"Union County",28145,14.9,4196,"614 of 3141"
"Pontotoc County",28115,15.3,4742,"604 of 3141"
"Tippah County",28139,17.0,3734,"568 of 3141"
"Webster County",28155,19.2,1893,"514 of 3141"
"Stone County",28131,19.3,3463,"511 of 3141"
"Perry County",28111,19.8,2380,"501 of 3141"
"Lamar County",28073,20.0,12076,"499 of 3141"
"Rankin County",28121,20.0,29965,"496 of 3141"
"Neshoba County",28099,20.9,6152,"478 of 3141"
"Jackson County",28059,22.2,31303,"453 of 3141"
"Smith County",28129,23.6,3809,"433 of 3141"
"Lafayette County",28071,23.8,12579,"427 of 3141"
"Harrison County",28047,24.2,48549,"417 of 3141"
"DeSoto County",28033,25.4,43980,"399 of 3141"
"Greene County",28041,25.6,3531,"395 of 3141"
"Calhoun County",28013,27.3,3984,"369 of 3141"
"Lee County",28081,28.9,24499,"337 of 3141"
"Jones County",28067,29.0,19831,"335 of 3141"
"Newton County",28101,30.0,6426,"317 of 3141"
"Tate County",28137,30.0,8511,"316 of 3141"
"Monroe County",28095,30.2,10846,"312 of 3141"
"Lincoln County",28085,30.8,10641,"304 of 3141"
"Choctaw County",28019,30.9,2583,"302 of 3141"
"Marion County",28091,32.1,8183,"283 of 3141"
"Lawrence County",28077,33.2,4205,"271 of 3141"
"Carroll County",28015,33.5,3424,"264 of 3141"
"Clarke County",28023,35.1,5650,"245 of 3141"
"Franklin County",28037,36.0,2795,"230 of 3141"
"Covington County",28031,36.1,6918,"227 of 3141"
"Simpson County",28127,36.5,9944,"221 of 3141"
"Benton County",28009,36.6,3042,"219 of 3141"
"Forrest County",28035,36.8,27930,"217 of 3141"
"Oktibbeha County",28105,37.1,18328,"214 of 3141"
"Madison County",28089,38.3,39113,"204 of 3141"
"Scott County",28123,38.5,10930,"202 of 3141"
"Yalobusha County",28161,40.1,4988,"191 of 3141"
"Wayne County",28153,40.5,8289,"186 of 3141"
"Amite County",28005,42.0,5277,"164 of 3141"
"Montgomery County",28097,42.1,4342,"161 of 3141"
"Leake County",28079,42.4,9719,"157 of 3141"
"Lauderdale County",28075,42.9,33518,"150 of 3141"
"Attala County",28007,42.9,8027,"149 of 3141"
"Grenada County",28043,43.3,9250,"143 of 3141"
"Chickasaw County",28017,43.3,7492,"142 of 3141"
"Lowndes County",28087,43.5,25925,"141 of 3141"
"Walthall County",28147,45.8,6713,"128 of 3141"
"Tallahatchie County",28135,47.2,6872,"122 of 3141"
"Winston County",28159,47.3,8742,"121 of 3141"
"Marshall County",28093,47.7,17150,"115 of 3141"
"Warren County",28149,50.2,23850,"96 of 3141"
"Panola County",28107,50.4,17258,"92 of 3141"
"Copiah County",28029,51.9,14915,"87 of 3141"
"Adams County",28001,53.2,16798,"81 of 3141"
"Pike County",28113,53.3,21194,"80 of 3141"
"Jasper County",28061,54.1,8947,"76 of 3141"
"Yazoo County",28163,57.0,15672,"59 of 3141"
"Clay County",28025,59.0,11799,"51 of 3141"
"Kemper County",28069,60.3,6078,"47 of 3141"
"Jefferson Davis County",28065,61.6,7175,"43 of 3141"
"Bolivar County",28011,64.2,21276,"34 of 3141"
"Issaquena County",28055,64.9,841,"30 of 3141"
"Quitman County",28119,71.0,5351,"23 of 3141"
"Wilkinson County",28157,71.3,6477,"22 of 3141"
"Washington County",28151,71.9,34492,"20 of 3141"
"Hinds County",28049,71.9,174890,"19 of 3141"
"Noxubee County",28103,72.1,7887,"18 of 3141"
"Sharkey County",28125,72.3,3350,"16 of 3141"
"Leflore County",28083,73.2,22053,"14 of 3141"
"Sunflower County",28133,74.0,19911,"12 of 3141"
"Humphreys County",28053,75.5,6556,"10 of 3141"
"Coahoma County",28027,77.2,18756,"7 of 3141"
"Tunica County",28143,78.5,8066,"6 of 3141"
"Holmes County",28051,83.2,15196,"3 of 3141"
"Jefferson County",28063,86.4,6448,"2 of 3141"
"Claiborne County",28021,86.9,7915,"1 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
