------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Mississippi",28000,16.6,124002,"51 of 52"
"Rankin County",28121,5.6,2245,"346 of 3141"
"DeSoto County",28033,6.9,3096,"595 of 3141"
"Carroll County",28015,8.2,216,"941 of 3141"
"Madison County",28089,8.7,2430,"1081 of 3141"
"George County",28039,9.9,503,"1367 of 3141"
"Lamar County",28073,10.9,1720,"1641 of 3141"
"Jackson County",28059,11.0,3713,"1668 of 3141"
"Pontotoc County",28115,11.7,904,"1837 of 3141"
"Greene County",28041,12.4,350,"1982 of 3141"
"Lafayette County",28071,12.6,1426,"2016 of 3141"
"Union County",28145,12.6,889,"2018 of 3141"
"Clarke County",28023,13.0,560,"2097 of 3141"
"Tishomingo County",28141,13.0,706,"2102 of 3141"
"Stone County",28131,13.2,598,"2150 of 3141"
"Smith County",28129,13.7,573,"2238 of 3141"
"Pearl River County",28109,13.9,2073,"2280 of 3141"
"Itawamba County",28057,14.1,875,"2314 of 3141"
"Lee County",28081,14.3,3136,"2337 of 3141"
"Perry County",28111,14.6,450,"2389 of 3141"
"Marshall County",28093,14.7,1312,"2403 of 3141"
"Alcorn County",28003,14.7,1423,"2404 of 3141"
"Monroe County",28095,14.8,1401,"2411 of 3141"
"Hancock County",28045,15.0,1915,"2453 of 3141"
"Prentiss County",28117,15.5,1010,"2509 of 3141"
"Panola County",28107,16.0,1298,"2564 of 3141"
"Oktibbeha County",28105,16.1,1423,"2572 of 3141"
"Franklin County",28037,16.1,372,"2576 of 3141"
"Lawrence County",28077,16.4,554,"2616 of 3141"
"Jones County",28067,16.5,2836,"2623 of 3141"
"Tippah County",28139,16.6,992,"2641 of 3141"
"Harrison County",28047,16.8,8567,"2666 of 3141"
"Newton County",28101,16.8,980,"2668 of 3141"
"Lowndes County",28087,17.1,2641,"2695 of 3141"
"Leake County",28079,17.4,999,"2721 of 3141"
"Tate County",28137,17.7,1265,"2743 of 3141"
"Benton County",28009,17.9,381,"2761 of 3141"
"Choctaw County",28019,17.9,353,"2764 of 3141"
"Yalobusha County",28161,18.2,639,"2781 of 3141"
"Lauderdale County",28075,18.3,3570,"2788 of 3141"
"Neshoba County",28099,18.7,1393,"2820 of 3141"
"Hinds County",28049,18.8,10779,"2826 of 3141"
"Lincoln County",28085,18.9,1706,"2832 of 3141"
"Covington County",28031,18.9,935,"2833 of 3141"
"Jasper County",28061,19.1,991,"2850 of 3141"
"Sharkey County",28125,19.2,208,"2852 of 3141"
"Warren County",28149,19.3,2359,"2864 of 3141"
"Copiah County",28029,19.4,1328,"2866 of 3141"
"Forrest County",28035,19.6,3451,"2876 of 3141"
"Attala County",28007,19.7,990,"2881 of 3141"
"Chickasaw County",28017,19.8,879,"2885 of 3141"
"Simpson County",28127,19.9,1321,"2890 of 3141"
"Marion County",28091,20.2,1334,"2901 of 3141"
"Calhoun County",28013,20.3,792,"2906 of 3141"
"Scott County",28123,20.3,1426,"2907 of 3141"
"Amite County",28005,20.4,622,"2909 of 3141"
"Grenada County",28043,20.4,1032,"2917 of 3141"
"Wayne County",28153,20.8,1194,"2943 of 3141"
"Walthall County",28147,21.6,784,"2968 of 3141"
"Winston County",28159,22.1,1150,"2986 of 3141"
"Webster County",28155,22.3,610,"2990 of 3141"
"Kemper County",28069,22.4,507,"2991 of 3141"
"Clay County",28025,22.9,1251,"3001 of 3141"
"Tallahatchie County",28135,23.6,656,"3019 of 3141"
"Tunica County",28143,23.9,644,"3027 of 3141"
"Jefferson Davis County",28065,23.9,730,"3028 of 3141"
"Montgomery County",28097,24.0,771,"3031 of 3141"
"Pike County",28113,26.3,2480,"3062 of 3141"
"Sunflower County",28133,27.2,1536,"3077 of 3141"
